"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RN2";"R_Array_Convex_4x0603";1;"10K";;;
2;"RN1";"R_Array_Convex_2x0603";1;"10K";;;
3;"J2,J4";"BM12B-SRSS-TB";2;"BM12B-SRSS-TBT(LF)(SN)";;;
4;"U1";"CL-2025-02";1;"XCL220";;;
5;"J3";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
6;"C11,C3,C15,C104";"C_0603_1608Metric";4;"1uF";;;
7;"C6,C10,C4,C14,C9,C1,C13,C2,C20,C7,C18,C19";"C_0805_2012Metric";12;"10uF";;;
8;"R103";"R_0603_1608Metric";1;"1.62K";;;
9;"R102";"R_0603_1608Metric";1;"18.7K";;;
10;"C107";"C_0603_1608Metric";1;"47nF";;;
11;"C106";"C_0603_1608Metric";1;"820pF";;;
12;"C101";"C_0603_1608Metric";1;"22uF";;;
13;"U101";"QFN-16-1EP_3x3mm_P0.5mm_EP2.7x2.7mm_ThermalVias";1;"TPS55340-Q1";;;
14;"L101";"L_Vishay_IHLP-1212";1;"3.3uH";;;
15;"C105,C23";"C_0603_1608Metric";2;"22nF";;;
16;"C102,C17,C108,C21,C22,C16,C5,C8,C24";"C_0603_1608Metric";9;"0.1uF";;;
17;"J5";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";1;"Conn_01x04";;;
18;"J9";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02 DNF";;;
19;"R1,R3,R104";"R_0603_1608Metric";3;"10K";;;
20;"D1";"LED_WS2813-MINI-2";1;"WS2813-MINI";;;
21;"FID4,FID1,FID2,FID3";"Fiducial_0.5mm_Mask1mm";4;"DNF";;;
22;"MIC1";"SPH0645LM4H-B";1;"SPH0645LM4H-B";;;
23;"SW1,SW2";"SW_SPST_KMR2";2;"SW_SPST_KMR2";;;
24;"D101";"D_SOD-123F";1;"D_Schottky";;;
25;"J101";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Conn_01x02";;;
26;"J11";"JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical";1;"Conn_01x02";;;
27;"C103";"C_1210_3225Metric";1;"47uF";;;
28;"J10";"PinHeader_1x02_P1.27mm_Vertical_SMD_Pin1Left";1;"Conn_01x02 DNF";;;
29;"U2";"ESP32-WROOVER";1;"ESP32-WROVER";;;
30;"R6,R5";"R_0603_1608Metric";2;"4.7K";;;
31;"R10";"R_0603_1608Metric";1;"100K";;;
32;"RN3";"R_Array_Convex_4x0603";1;"4.7K";;;
33;"D2";"SOT-666";1;"USBLC6-2P6";;;
34;"C12";"C_0805_2012Metric";1;"22uF";;;
35;"J1";"microSD_HC_Wuerth_693072010801";1;"Micro_SD_Card";;;
36;"R101";"R_0603_1608Metric";1;"86.6K";;;
37;"J6,J7";"PinHeader_1x02_P1.27mm_Vertical";2;"Conn_01x02 DNF";;;
38;"J8";"PinHeader_1x05_P1.27mm_Vertical";1;"Conn_01x05 DNF";;;
39;"U5";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm";1;"MAX98357A";;;
40;"Q3";"SOT-23";1;"BSS138";;;
41;"Q1";"SOT-23";1;"MMSS8050-H-TP";;;
42;"Q5";"SOT-363_SC-70-6";1;"BSS138DW-7-F";;;
43;"RN6,RN4";"R_Array_Convex_4x0603";2;"100K";;;
44;"R2";"R_0603_1608Metric";1;"470";;;
45;"U4";"TDFN-14_3x3mm_P0.4mm_EP1.78x2.35mm";1;"MAX3379EETD";;;
46;"Q2";"SOT-23-6";1;"FMB2222A";;;
47;"U3";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2104";;;
