"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"TSSOP-8_4.4x3mm_P0.65mm";1;"BL24C256A-SFRC";;;
2;"C9,C8";"C_0402_1005Metric";2;"16p";;;
3;"C11";"C_0402_1005Metric";1;"4.7u";;;
4;"C1,C10,C2,C3,C4";"C_0402_1005Metric";5;"100n";;;
5;"R5";"R_0805_2012Metric";1;"0R";;;
6;"U2";"STM_UFQFPN-48_LQFP-48-1EP_7x7mm_P0.5mm_HandSoldering_ThermalReliefs";1;"STM32F411CEU6";;;
7;"C5";"CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder";1;"10u";;;
8;"C6";"C_0402_1005Metric";1;"1u";;;
9;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"7325-0800A2010-00";;;
10;"R1,R4,R2";"R_0402_1005Metric";3;"1.5k";;;
11;"R3";"R_0805_2012Metric";1;"10k";;;
12;"C7";"C_0402_1005Metric";1;"10n";;;
