"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D44,D48,D60,D66,D47,D58,D28,D64,D67,D19,D51,D37,D23,D39,D40,D49,D53,D42,D43,D35,D52,D36,D33,D50,D38,D54,D41,D34,D31,D18,D65,D57,D61,D26,D62,D59,D30,D70,D17,D63,D46,D27,D45,D21,D55,D69,D20,D32,D25,D22,D56,D24,D68,D29,D71";"D_SOD-123";55;"1N4148";;;
2;"R77,R76,R85";"R_SMD_1206";3;"1M";;;
3;"C28,C27,C32";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"100n";;;
4;"R78,R79,R80,R81,R82,R83,R61,R35,R62,R60,R28,R38,R48,R25,R50,R37,R32,R54,R66,R63,R72,R40,R20,R58,R26,R36,R64,R73,R30,R39,R31,R42,R71,R56,R70,R27,R55,R51,R29,R49,R22,R69,R52,R44,R23,R59,R53,R24,R41,R68,R65,R43,R45,R19,R21,R33,R47,R57,R67,R46";"R_SMD_1206";60;"470";;;
5;"C16,C13,C5,C3,C14,C2,C15,C7,C10,C6,C11,C9,C8,C4,C12,C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";16;"1u";;;
6;"D72";"D_SOD-123";1;"RB060M-60TR";;;
7;"R87,R86";"R_SMD_1206";2;"100k";;;
8;"R2,R6,R1,R3,R9,R12,R5,R7,R15,R4,R10,R8,R13,R16,R14,R11";"R_SMD_1206";16;"4.7";;;
9;"D12,D2,D1,D3,D16,D10,D4,D5,D9,D15,D13,D11,D7,D6,D8,D14";"LED_WS2812B_5.0x5.0mm_P3.2mm";16;"WS2812C";;;
10;"R88";"R_SMD_1206";1;"100";;;
11;"R75,R74";"R_SMD_1206";2;"5.1k";;;
12;"C24";"C_0402_1005Metric";1;"10n";;;
13;"J1";"USB_C_Receptacle_Wurth_Elektronik_632723x00011";1;"Wurth 632723300011";;;
14;"U3";"USON-10_2.5x1.0mm_P0.5mm";1;"TPD4E05U06DQAR";;;
15;"C31,C30";"CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder";2;"1u";;;
16;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F072CBT6";;;
17;"R84";"R_SMD_1206";1;"330k";;;
18;"C20,C26";"C_0402_1005Metric";2;"4.7u";;;
19;"Q1";"SOT-23";1;"AO3401A";;;
20;"Q2,Q3";"SOT-23";2;"DTC123JKAT146";;;
21;"C23";"C_0402_1005Metric";1;"1u";;;
22;"C22,C21";"C_0805_2012Metric";2;"100n";;;
23;"R18";"R_SMD_1206";1;"100R";;;
24;"F1";"Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder";1;"RF1338-000";;;
25;"R17,R34";"R_SMD_1206";2;"10k";;;
26;"C29";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10u";;;
27;"C25,C18,C17,C19";"C_0402_1005Metric";4;"100n";;;
28;"U4";"SOT-23";1;"MCP1700T-3302E/TT";;;
29;"D73";"D_SOD-123";1;"SMF6.0A";;;
30;"U1";"SOT-23-6";1;"TXS0101";;;
31;"SW55";"smdPushBtn";1;"K2-1187SQ-A4SW-06";;;
