"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"IC1";"SOT23";1;"APX803";;;
2;"U$29";"STEMMAQT";1;"";;;
3;"FID1,FID2";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
4;"R1,R3,R13,R14,R16,R11,R12,R18";"0805-NO";8;"10K";;;
5;"RPI1";"PI_BONNET_SMT";1;"RASPBERRYPI_BPLUS_BONNETSMT";;;
6;"SW2";"6MM_SMT";1;"EVQQ";;;
7;"C10,C1";"0805-NO";2;"10uF";;;
8;"SW3";"SKQUBAE010";1;"NAVSWITCHSKQUABAUE010";;;
9;"U$28";"ADAFRUIT_5MM";1;"";;;
10;"U$2";"PCBFEAT-REV-040";1;"";;;
11;"SW1";"6MMX6MM_TACTILE_SMT";1;"EVQQ";;;
12;"R2";"0603-NO";1;"10K";;;
13;"DISPLAY1";"TFT_1.3IN_240X240_24P";1;"DISP_LCD_ST7789_1.3IN";;;
14;"R5";"0603-NO";1;"10";;;
15;"CONN1";"JST_SH4";1;"STEMMA_I2C_QT";;;
16;"Q3";"SOT23-WIDE";1;"BSS138";;;
