"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$21,U$20,U$1";"ADAFRUIT_3.5MM";3;"";;;
2;"R1,R2,R3,R4";"0603-NO";4;"10K";;;
3;"Q2";"MICROSD";1;"MICROSD";;;
4;"IC2";"SOT23-5L";1;"AP2112";;;
5;"IC4";"SOT23";1;"APX803-SAG";;;
6;"U$2";"PCBFEAT-REV-040";1;"";;;
7;"U$22";"EYESPI_MINI_LOGO";1;"";;;
8;"U$5,U$4";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
9;"C1,C2,C4";"0805-NO";3;"10uF";;;
10;"U1";"TSSOP16";1;"74HC4050PWR";;;
11;"X1";"EYE_SPI_DISPLAY_BOTCONTACT";1;"EYE_SPI_DISPLAY_FLIP";;;
12;"Q3";"SOT23-WIDE";1;"BSS138";;;
13;"JP1";"1X11_ROUND_76";1;"";;;
14;"R5";"0603-NO";1;"10";;;
15;"C3,C5";"0603-NO";2;"0.1uF";;;
16;"U$7,U$10,U$9,U$8";"MOUNTINGHOLE_2.5_PLATED";4;"MOUNTINGHOLE2.5";;;
17;"DISP1";"TFT_1.47IN_172X320_12P";1;"DISP_LCD_GENERIC_SPI_1.47IN_172X320_12P_WRAPUNDER";;;
