"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_2_0_inch_240x320_tft_pcb_adafruit_2_0_inch_240x320_ips_tft\current_version\working\working.kicad_sch"
"Date:","09/09/2023 13:43:07"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","20"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3","3","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"CN1","1","MICROSD","MICROSD","working:MICROSD","","",""
"DISP1","1","DISP_LCD_GENERIC_SPI_2.0IN_240X320","DISP_LCD_GENERIC_SPI_2.0IN_240X320","working:TFT_2.0IN_240X320_12P","","",""
"FID1, FID2, FID3","3","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"IC4","1","APX803-SAG","AXP083-SAG","working:SOT23","","",""
"JP1","1","HEADER-1X1176MIL","HEADER-1X1176MIL","working:1X11_ROUND_76","","",""
"Q1","1","BSS138","MOSFET-NREFLOW","working:SOT23-R","","",""
"R1","1","10","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R2, R5, R7, R8","4","10K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"U2","1","AP2112K-3.3","VREG_SOT23-5","working:SOT23-5","","",""
"U3","1","74HC4050D","74HC4050D","working:SOIC16","","",""
"U$3, U$4","2","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
