"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"SOT23-5";1;"FAN5331SX";;;
2;"C2";"0805";1;"0.1uF";;;
3;"C3,C4,C5";"0805";3;"10uF/16V";;;
4;"C1,C8";"0805";2;"10uF";;;
5;"U$28";"LOGIC_5VREADY_5MM";1;"";;;
6;"CN1";"MICROSD";1;"";;;
7;"U2";"SOIC16";1;"74HC4050";;;
8;"U$15,U$10,U$11,U$9";"MOUNTINGHOLE_2.5_PLATED";4;"MOUNTINGHOLE2.5";;;
9;"U$17";"ADAFRUIT_3.5MM";1;"";;;
10;"U$12,U$16,U$13";"FIDUCIAL_1MM";3;"FIDUCIAL";;;
11;"R1";"0805";1;"100K";;;
12;"L1";"INDUCTOR_1007";1;"10uH";;;
13;"D1";"SOD-123";1;"BAT54T1G";;;
14;"IC1";"SOT23-5L";1;"MIC5225-3.3";;;
15;"R2";"0805";1;"10K";;;
16;"R3";"0805";1;"920K";;;
17;"LCD1";"UG-9664HDDAG01_WRAPAROUND";1;"UG-9664HDDAG01";;;
18;"JP2";"1X10_ROUND_76";1;"";;;
