"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R4";"0805-NO";1;"1K";;;
2;"D1";"SOT23-R";1;"TLVH431";;;
3;"U$12,U$11";"MOUNTINGHOLE_2.5_PLATED";2;"MOUNTINGHOLE2.5";;;
4;"U$9";"SYMBOL_MINUS";1;"";;;
5;"FB1";"0805";1;"ferrite";;;
6;"X1";"TERMBLOCK_1X2-3.5MM";1;"3.5mm terminal";;;
7;"R3";"0805-NO";1;"1M";;;
8;"U1";"MSOP8_0.65MM";1;"AD8495ARMZ ";;;
9;"U$10";"ADAFRUIT_2.5MM";1;"";;;
10;"R1,R2";"0805-NO";2;"100";;;
11;"C1";"0805-NO";1;"0.1µF";;;
12;"C4,C2";"0805-NO";2;"0.01uF";;;
13;"FID2,FID1";"FIDUCIAL_1MM";2;"FIDUCIAL""";;;
14;"C3";"0805-NO";1;"0.1uF";;;
15;"JP1";"1X04_ROUND";1;"";;;
16;"U$8";"SYMBOL_PLUS";1;"";;;
17;"U$13";"ADAFRUIT_3.5MM";1;"";;;
