"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_adalogger_featherwing_pcb_adalogger_featherwing\current_version\working\working.kicad_sch"
"Date:","09/09/2023 16:34:30"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","20"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"B1","1","cr1220","BATTERYCR1220_2","working:CR1220-2","","",""
"C1, C2","2","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"FID1, FID2","2","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"IC1","1","RTC_PCF8523T","RTC_PCF8523T","working:SOIC8_150MIL","","",""
"INT1","1","HEADER-1X1ROUND","HEADER-1X1ROUND","working:1X01_ROUND","","",""
"JP1","1","HEADER-1X11","HEADER-1X11","working:1X11_ROUND","","",""
"JP2","1","HEADER-1X16ROUND","HEADER-1X16ROUND","working:1X16_ROUND","","",""
"JP3","1","HEADER-1X1ROUND","HEADER-1X1ROUND","working:1X01_ROUND","","",""
"MS1","1","FEATHERWING_NODIM","FEATHERWING_NODIM","working:FEATHERWING_NODIM","","",""
"R1, R2","2","10K","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R3","1","100K","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R4","1","1K","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"SDCS0","1","HEADER-1X1ROUND","HEADER-1X1ROUND","working:1X01_ROUND","","",""
"SJ1","1","SOLDERJUMPER_CLOSED","SOLDERJUMPER_CLOSED","working:SOLDERJUMPER_CLOSEDWIRE","","",""
"SW1","1","KMR2","SWITCH_TACT_SMT4.6X2.8","working:BTN_KMR2_4.6X2.8","","",""
"X4","1","microsd","MICROSD","working:MICROSD","","",""
"Y1","1","32khz","CRYSTAL8.0X3.8","working:CRYSTAL_8X3.8","","",""
