"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SJ3,SJ1,SJ2";"SOLDERJUMPER_ARROW_NOPASTE";3;"";;;
2;"R2,R1";"RESPACK_4X0603";2;"10K Pack";;;
3;"JP4,JP1";"1X02_ROUND";2;"";;;
4;"U1";"SOIC8_150MIL";1;"ADT7410";;;
5;"C4,C2";"0805-NO";2;"10uF";;;
6;"C3,C1";"0603-NO";2;"0.1uF";;;
7;"CONN1";"JST_SH4";1;"STEMMA_I2C_QT";;;
8;"JP2";"1X12_ROUND_76MIL";1;"";;;
9;"JP3";"1X16_ROUND_76MIL";1;"";;;
10;"U$28";"ADAFRUIT_3.5MM";1;"";;;
11;"FID1,FID2";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
12;"MS1";"FEATHERWING_NODIM";1;"FEATHERWING_NODIM";;;
13;"U$24";"ADIWING_TOP";1;"";;;
14;"U2";"LGA14";1;"ADXL343";;;
15;"R3";"0603-NO";1;"10K";;;
16;"U$29";"STEMMAQT";1;"";;;
17;"U$1";"PCBFEAT-REV-040";1;"";;;
18;"U$23";"FEATHERLOGO_MED";1;"";;;
