"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_aht20_pcb_adafruit_aht20_temperature_&_humidity\current_version\working\working.kicad_sch"
"Date:","09/09/2023 17:11:04"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","15"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C5","1","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C6","1","0.1uF","CAP_CERAMIC0603_NO","working:0603-NO","","",""
"CONN3, CONN4","2","STEMMA_I2C_QT","STEMMA_I2C_QT","working:JST_SH4","","",""
"D1","1","GREEN","LED0603_NOOUTLINE","working:CHIPLED_0603_NOOUTLINE","","",""
"FID3, FID4","2","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"JP2","1","HEADER-1X476MIL","HEADER-1X476MIL","working:1X04_ROUND_76","","",""
"R1","1","220","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R5","1","10K","RESISTOR_4PACK","working:RESPACK_4X0603","","",""
"U1","1","AHT20","SENSOR-AHT20","working:SNR6-1.0-3X3X1MM","","",""
"U$19, U$20, U$22, U$25","4","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
