"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R1,R5,R6";"0603-NO";3;"10K";;;
2;"U$34,U$35";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
3;"SW2";"BTN_KMR2_4.6X2.8";1;"KMR2";;;
4;"U$31,U$32";"MOUNTINGHOLE_2.5_PLATED";2;"MOUNTINGHOLE2.5";;;
5;"Q3";"SOT23-R";1;"DMG2305";;;
6;"@HOLE0,@HOLE1";"";2;"";;;
7;"D4";"SOD-123";1;"MBR120";;;
8;"JP3";"1X12_ROUND_MIN";1;"";;;
9;"X3";"WROOM32_SKINNY";1;"ESP32_WROOM32_SKINNY";;;
10;"C1,C10,C2";"0805-NO";3;"10uF";;;
11;"U2";"SOT23-5";1;"AP2112-3.3";;;
12;"R3,R4,R2";"0603-NO";3;"1K";;;
13;"U$15";"ADAFRUIT_3.5MM";1;"";;;
14;"R12,R7";"0603-NO";2;"100K";;;
15;"C12";"0603-NO";1;"0.1uF";;;
16;"D3";"RGBLED_PLCC6";1;"";;;
17;"SJ1,SJ3,SJ4,SJ2";"SOLDERJUMPER_ARROW_NOPASTE";4;"";;;
18;"JP1";"1X16_ROUND_MIN";1;"";;;
19;"IC2";"SOT23-5L";1;"74AHC1G125";;;
20;"C6,C8";"0805-NO";2;"10µF";;;
21;"ECC1";"SOIC8";1;"ATECCx08";;;
22;"U$6";"AIRLIFT";1;"";;;
23;"U$7";"FEATHERLOGO_MED";1;"";;;
24;"U$13";"PCBFEAT-REV-040";1;"";;;
