"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_bluefruit_le_spi_friend_pcb_adafruit_bluefruit_le_spi_friend\current_version\working\working.kicad_sch"
"Date:","11/09/2023 10:58:11"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","25"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","1uF","CAP_CERAMIC0805_10MGAP","working:0805_10MGAP","","",""
"C3","1","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C4","1","10uF","CAP_CERAMIC0805_10MGAP","working:0805_10MGAP","","",""
"D1","1","RED","LED0805_NOOUTLINE","working:CHIPLED_0805_NOOUTLINE","","",""
"D2","1","BLUE","LED0805_NOOUTLINE","working:CHIPLED_0805_NOOUTLINE","","",""
"D3","1","1N4148","DIODESOD-323","working:SOD-323","","",""
"FID1, FID3","2","FIDUCIAL""""","FIDUCIAL{dblquote}{dblquote}","working:FIDUCIAL_1MM","","",""
"IC1","1","74LVC2G34DBVR","74LVC2G34DBVR","working:SOT23-6","","",""
"JP2","1","HEADER-1X970MIL","HEADER-1X970MIL","working:1X09_ROUND_70","","",""
"Q1","1","BSS138","MOSFET-NWIDE","working:SOT23-WIDE@1","","",""
"R1, R2","2","2K","RESISTOR_0805MP","working:_0805MP","","",""
"R3, R4","2","100K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R5","1","100K","RESISTOR_0805MP","working:_0805MP","","",""
"TP1","1","SWCLK","TESTPOINT1.5X2.0MM_NOCREAM","working:PAD-1.5X2.0","","",""
"TP2","1","SWDIO","TESTPOINT1.5X2.0MM_NOCREAM","working:PAD-1.5X2.0","","",""
"TP3","1","FCTRST","TESTPOINT1.5X2.0MM_NOCREAM","working:PAD-1.5X2.0","","",""
"U1","1","32KB NRF51822","NRF51822_MODULE_MDBT40","working:BLE_MODULE_RAYTAC_MDBT40","","",""
"U2","1","MIC5225-3.3","VREG_SOT23-5","working:SOT23-5","","",""
"U$28, U$29","2","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
"VTREF0","1","THREEV","TESTPOINT1.5X2.0MM_NOCREAM","working:PAD-1.5X2.0","","",""
"Y1","1","32.768kHz (535-9166-2-ND)","CRYSTAL2.0X6.0_32.768","working:CRYSTAL_CYL_2X6MM_SMT","","",""
