"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1,D2";"SOD-323";2;"1N4148";;;
2;"C5,C4";"0805-NO";2;"10uF";;;
3;"U3";"CCS811";1;"CCS811";;;
4;"U$45,U$1";"ADAFRUIT_3.5MM";2;"";;;
5;"U1";"SOT23-5";1;"AP2112K-3.3";;;
6;"CONN3,CONN4";"JST_SH4";2;"STEMMA_I2C_QT";;;
7;"FID4,FID3";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
8;"R3,R2";"RESPACK_4X0603";2;"10K";;;
9;"Q2";"SOT363";1;"BSS138";;;
10;"U$40,U$39";"MOUNTINGHOLE_2.5_PLATED";2;"MOUNTINGHOLE2.5";;;
11;"C6";"0603-NO";1;"0.1uF";;;
12;"D3";"CHIPLED_0603_NOOUTLINE";1;"GREEN";;;
13;"JP3";"1X08_ROUND_70";1;"";;;
14;"U$46";"PCBFEAT-REV-040";1;"";;;
15;"SJ1";"SOLDERJUMPER_ARROW_NOPASTE";1;"";;;
16;"U$48,U$47";"STEMMAQT";2;"";;;
17;"SJ2";"SOLDERJUMPER_CLOSEDWIRE";1;"";;;
