"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$6,U$3,U$4,U$5";"MOUNTINGHOLE_2.5_PLATED";4;"MOUNTINGHOLE2.5";;;
2;"EINK1";"EINK_154IN";1;"EINK_EPD0231EINK_154IN_200X200";;;
3;"C16,C3,C4,C23,C22";"0805-NO";5;"1uF/25V";;;
4;"FID3,FID2,FID1";"FIDUCIAL_1MM";3;"FIDUCIAL_1MM";;;
5;"C6,C2";"0805-NO";2;"1uF/10V";;;
6;"C1";"0805_10MGAP";1;"1uF";;;
7;"C5";"0805-NO";1;"4.7uF/25V";;;
8;"U$28";"ADAFRUIT_TEXT_20MM";1;"";;;
9;"U2";"SOT23-5";1;"MIC5225-3.3";;;
10;"U4";"SOIC8_150MIL";1;"23K640-I/SN";;;
11;"U$9";"PCBFEAT-REV-040";1;"";;;
12;"C21,C20";"0805-NO";2;"10µF";;;
13;"C7,C8";"0805-NO";2;"1uF";;;
14;"IC1";"TSSOP20";1;"74LVC245PW";;;
15;"D2,D1,D3";"SOD-123";3;"MBR0530";;;
16;"C15";"0805-NO";1;"10uF/10V+";;;
17;"R3,R5,R1,R2,R6";"0805-NO";5;"100K";;;
18;"L1";"INDUCTOR_4X4MM_NR401";1;"10uH";;;
19;"X1";"MICROSD";1;"MICROSD";;;
20;"R4";"0805_10MGAP";1;"0.47ohm";;;
21;"Q5";"SOT23-3";1;"IRLML0100";;;
22;"C24";"0805-NO";1;"1uF/6V";;;
23;"JP2";"1X13_ROUND_70";1;"";;;
