"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$35,U$34";"FIDUCIAL_1MM";2;"FIDUCIAL""";;;
2;"U3";"SOT23-5";1;"MCP73831T-2ACI/OT";;;
3;"U$32,U$31";"MOUNTINGHOLE_2.5_PLATED";2;"MOUNTINGHOLE2.5";;;
4;"C7,C14";"0603-NO";2;"1uF";;;
5;"IC1";"TQFN44_7MM";1;"ATMEGA32U4-MU";;;
6;"C8,C3,C6";"0805-NO";3;"10µF";;;
7;"R8";"0603-NO";1;"10K\";;;
8;"X1";"JSTPH2";1;"JSTPH";;;
9;"R5,R4";"0603-NO";2;"22";;;
10;"R3,R9";"0603-NO";2;"100k";;;
11;"JP1";"1X16_ROUND";1;"";;;
12;"U$5";"PCBFEAT-REV-040";1;"";;;
13;"C9";"0805-NO";1;"10uF";;;
14;"@HOLE1,@HOLE0";"";2;"";;;
15;"JP3";"1X12_ROUND";1;"";;;
16;"U2";"SOT23-5";1;"SPX3819-3.3";;;
17;"X2";"MICROSD";1;"microsd";;;
18;"L0";"CHIPLED_0805_NOOUTLINE";1;"RED";;;
19;"D4";"SOD-123";1;"MBR120";;;
20;"SW1";"KMR2";1;"SPST_TACT-KMR2";;;
21;"R1,R2";"0603-NO";2;"1K";;;
22;"X3";"4UCONN_20329_V2";1;"microUSB";;;
23;"L1";"CHIPLED_0805_NOOUTLINE";1;"GREEN";;;
24;"R7";"0603-NO";1;"2.2K";;;
25;"Y1";"RESONATOR-SMD";1;"8MHz";;;
26;"R6";"_0603MP";1;"100K";;;
27;"CHG0";"CHIPLED_0805_NOOUTLINE";1;"ORANGE";;;
28;"U$7";"ADAFRUIT_3.5MM";1;"";;;
29;"U$4";"FEATHERLOGO";1;"";;;
30;"U$6";"ADALOGGER_LOGO";1;"";;;
