"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"JP10";"1X16_ROUND";1;"";;;
2;"U$33,U$34";"MOUNTINGHOLE_2.5_PLATED";2;"MOUNTINGHOLE2.5";;;
3;"D5,D6,D4,D3,D7";"SOD-323";5;"1N4148";;;
4;"X4";"4UCONN_18510";1;"4UCONN_18510";;;
5;"C14,C16";"RESPACK_4X0603";2;"33pF";;;
6;"R6";"0805-NO";1;"10K";;;
7;"C1";"0805-NO";1;"10µF";;;
8;"U2";"SOT23-5";1;"MCP73831T-2ACI/OT";;;
9;"FID3,FID1,FID2,FID5,FID4";"FIDUCIAL_1MM";5;"FIDUCIAL""";;;
10;"ADC1,PWM0";"1X01-CLEANBIG";2;"";;;
11;"C6";"0805-NO";1;"33pF";;;
12;"CHRG0";"CHIPLED_0805_NOOUTLINE";1;"ORANGE";;;
13;"PWRSTAT0";"CHIPLED_0805_NOOUTLINE";1;"BLUE";;;
14;"R2,R5,R4";"0805-NO";3;"1K";;;
15;"X1";"SMA_EDGELAUNCH_UFL";1;"uFL";;;
16;"C9,C11";"0805-NO";2;"10uF";;;
17;"C5";"0805-NO";1;"10pF";;;
18;"C17,C15";"RESPACK_4X0603";2;"10pF";;;
19;"U3";"SIM900_SMT";1;"SIM808";;;
20;"JP3";"1X02_ROUND";1;"BUZZ";;;
21;"R1";"0805-NO";1;"470";;;
22;"U$21";"ADAFRUIT_2.5MM";1;"";;;
23;"Q1";"SC59-BEC";1;"DTC143ZUAT106";;;
24;"D2";"SOT363";1;"SMF05C";;;
25;"DONE0";"CHIPLED_0805_NOOUTLINE";1;"GREEN";;;
26;"X2";"4UCONN_20329";1;"MicroB";;;
27;"R3";"0805-NO";1;"2K";;;
28;"NETSTAT0";"CHIPLED_0805_NOOUTLINE";1;"RED";;;
29;"C7";"C1210";1;"100uF";;;
30;"TP1";"TP11R";1;"TPTP11R";;;
31;"SW1";"BTN_KMR2_4.6X2.8";1;"KMR2";;;
32;"CN2";"JSTPH2";1;"JSTPH";;;
33;"IC1";"TSSOP14";1;"74VHCT125PW";;;
34;"X3";"U.FL";1;"uFL";;;
35;"D1";"SOD-123";1;"MMSZ5231BT1G";;;
36;"X6";"C707_10M006_512_2";1;"SIM_LOCKAMPHENOL";;;
37;"U$36";"ADAFRUIT_5MM";1;"";;;
38;"U$25";"PCBFEAT-REV-040";1;"";;;
39;"U$26";"FONA_LOGO";1;"";;;
