"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R2";"0805-NO";1;"12K 1%";;;
2;"R4,R3";"0805-NO";2;"1K";;;
3;"LED1";"CHIPLED_0805_NOOUTLINE";1;"green";;;
4;"U$8";"ADAFRUIT_5MM";1;"";;;
5;"U$11";"PCBFEAT-REV-040";1;"";;;
6;"X1";"4UCONN_20329";1;"MiniB";;;
7;"U$6,U$4,U$7,U$5";"MOUNTINGHOLE_2.5_PLATED";4;"MOUNTINGHOLE2.5";;;
8;"IC1";"SOT23-6";1;"93LC56B";;;
9;"C8,C7,C6,C2";"0805-NO";4;"0.1uF";;;
10;"FID1,FID2";"FIDUCIAL_1MM";2;"FIDUCIAL""";;;
11;"FB2,FB1";"_0805";2;"Ferrite";;;
12;"R5";"_0805MP";1;"2.2K";;;
13;"C4,C1,C3,C5";"0805-NO";4;"10uF";;;
14;"R6";"0805-NO";1;"4.7K";;;
15;"IC2";"QFN48_8MM";1;"FT232HQ";;;
16;"LED2";"CHIPLED_0805_NOOUTLINE";1;"red";;;
17;"R7,R1";"0805-NO";2;"12K";;;
18;"U$2,U$3";"1X10-BIG";2;"PINHD-1X10";;;
19;"Q1";"RESONATOR-SMD";1;"CSTCR 12MHz";;;
20;"U$9";"ADAFRUIT_TEXT_30MM";1;"";;;
