"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_gps_logger_shield_pcb_adafruit_gps_logger_shield\current_version\working\working.kicad_sch"
"Date:","14/09/2023 06:49:17"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","27"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"B1","1","CR1220","BATTERYCR1220_SMT","working:CR1220","","",""
"C1","1","0.1uF","CAP_CERAMIC0805","working:0805@1","","",""
"C2, C3","2","10uF","CAP_CERAMIC0805","working:0805@1","","",""
"CN2","1","MICROSD","MICROSD","working:MICROSD","","",""
"FB1","1","Ferrite","FERRITE0805","working:0805@1","","",""
"FID1, FID2","2","FIDUCIAL""""","FIDUCIAL{dblquote}{dblquote}","working:FIDUCIAL_1MM","","",""
"JP1, JP4","2","D0-D7","PINHD-1X8BIG","working:1X08-BIG","","",""
"JP6, JP9","2","PINHD-1X6B","PINHD-1X6B","working:1X06-BIG","","",""
"LED1","1","red","LED0805","working:CHIPLED_0805","","",""
"LED4","1","yellow","LED0805","working:CHIPLED_0805","","",""
"LED5","1","green","LED0805","working:CHIPLED_0805","","",""
"R1","1","1K","RESISTOR0805","working:0805","","",""
"R5","1","10K","RESISTOR0805","working:0805","","",""
"R9, R10","2","1k","RESISTOR0805","working:0805","","",""
"RESET0","1","SPST_TACT-EVQQ2","SPST_TACT-EVQQ2","working:EVQ-Q2","","",""
"SW1","1","DPDT-EG1390","DPDT-EG1390","working:EG1390","","",""
"U1","1","FGPMMOPA6H","GPS_FGPMMOPA6H","working:FGPMMOPA6H","","",""
"U2","1","MIC5225-3.3","VREG_SOT23-5","working:SOT23-5","","",""
"U3","1","ARDUINOR3-DIMENSION","ARDUINOR3-DIMENSION","working:ARDUINOR3","","",""
"U4","1","4050","74HC4050D","working:SOIC16","","",""
"U$9","1","PINHD-1X10","PINHD-1X10","working:1X10-BIG","","",""
"U$20","1","U.FL","U.FL","working:U.FL","","",""
