"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"JP4,JP5";"1X10_ROUND70";2;"";;;
2;"C2,C1";"0805-NO";2;"10uF";;;
3;"X1";"ESP-12";1;"ESP-12";;;
4;"FID3,FID1";"FIDUCIAL_1MM";2;"FIDUCIAL""";;;
5;"D3";"CHIPLED_0805_NOOUTLINE";1;"RED";;;
6;"D6,D5";"SOD-123";2;"MBR120";;;
7;"R6,R1,R3,R7,R4";"0805-NO";5;"10K";;;
8;"U$16,U$15,U$17,U$18";"MOUNTINGHOLE_2.5_PLATED";4;"MOUNTINGHOLE2.5";;;
9;"U1";"SOT23-5";1;"SPX3819";;;
10;"SW1,SW2";"BTN_KMR2_4.6X2.8";2;"KMR2";;;
11;"D2,D1";"SOD-323";2;"1n4148";;;
12;"U$3";"ADAFRUIT_2.5MM";1;"";;;
13;"R2";"0805-NO";1;"1K";;;
14;"JP1";"1X06_ROUND_70";1;"FTDI";;;
15;"U$12";"ADAFRUIT_TEXT_20MM";1;"";;;
16;"U$2";"HUZZAHLOGO";1;"";;;
17;"U$13";"PCBFEAT-REV-040";1;"";;;
