"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"A0,A1,A2,SPIEN0";"SOLDERJUMPER_ARROW_NOPASTE";4;"";;;
2;"PLABEL3";"PLABEL3";1;"";;;
3;"PLABEL2";"PLABEL2";1;"";;;
4;"U$1,U$2";"FIDUCIAL_1MM";2;"FIDUCIAL";;;
5;"C1,C2";"0603-NO";2;"0.1uF";;;
6;"PLABEL4";"PLABEL4";1;"";;;
7;"CONN4,CONN3";"JST_SH4";2;"STEMMA_I2C_QT";;;
8;"R1,R6";"0603-NO";2;"10K";;;
9;"PLABEL5";"PLABEL5";1;"";;;
10;"R8,R3";"RESPACK_4X0603";2;"4.7K Pack";;;
11;"PLABEL0";"PLABEL0";1;"";;;
12;"PLABEL8";"PLABEL8";1;"";;;
13;"SJ1";"SOLDERJUMPER_CLOSEDWIRE";1;"";;;
14;"PLABEL1";"PLABEL1";1;"";;;
15;"D1";"CHIPLED_0603_NOOUTLINE";1;"GREEN";;;
16;"C5,C4";"0805-NO";2;"10uF";;;
17;"PLABEL7";"PLABEL7";1;"";;;
18;"U$4";"ADAFRUIT_3.5MM";1;"";;;
19;"U$7";"PCBFEAT-REV-040";1;"";;;
20;"PLABEL11";"PLABEL11";1;"";;;
21;"J1";"1X05-3.5MM";1;"1X5";;;
22;"JP1";"1X16";1;"";;;
23;"C6";"0805-NO";1;"1uF";;;
24;"IC3";"SOT23-6";1;"AP3602/RT9361";;;
25;"Q2,Q1";"SOT363";2;"BSS138";;;
26;"PLABEL9";"PLABEL9";1;"";;;
27;"IC1";"SO18W";1;"MCP23008/SO";;;
28;"@HOLE1,@HOLE0";"";2;"";;;
29;"PLABEL10";"PLABEL10";1;"";;;
30;"IC2";"SO16";1;"74HC595D";;;
31;"R2";"RTRIM3314J";1;"3314J-1-104E";;;
32;"PLABEL6";"PLABEL6";1;"";;;
33;"TP2,TP4,TP3,TP1";"TESTPOINT_ROUND_1.5MM";4;"";;;
34;"U$11,U$12";"STEMMAQT";2;"";;;
35;"PLABEL12";"PLABEL12";1;"";;;
36;"U$23";"ADAFRUIT_TEXT_20MM";1;"";;;
