"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_icm20649_pcb_adaruit_icm20649\current_version\working\working.kicad_sch"
"Date:","14/09/2023 09:42:47"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","23"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C2, C7","2","0.1uF","CAP_CERAMIC0603_NO","working:0603-NO","","",""
"C5, C6","2","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"CONN3, CONN4","2","STEMMA_I2C_QT","STEMMA_I2C_QT","working:JST_SH4","","",""
"D1","1","GREEN","LED0603_NOOUTLINE","working:CHIPLED_0603_NOOUTLINE","","",""
"D2","1","1n4148","DIODESOD-323","working:SOD-323","","",""
"FID3, FID4","2","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"JP2","1","HEADER-1X6ROUND","HEADER-1X6ROUND","working:1X06_ROUND","","",""
"JP3","1","HEADER-1X670MIL","HEADER-1X670MIL","working:1X06_ROUND_70","","",""
"Q2","1","BSS138","MOSFET-N_DUAL","working:SOT363","","",""
"R1, R3","2","10K","RESISTOR_4PACK","working:RESPACK_4X0603","","",""
"SJ2","1","FSYNC","SOLDERJUMPER_CLOSED","working:SOLDERJUMPER_CLOSEDWIRE","","",""
"SJ3","1","SOLDERJUMPER","SOLDERJUMPER","working:SOLDERJUMPER_ARROW_NOPASTE","","",""
"U3","1","AP2112K-3.3","VREG_SOT23-5","working:SOT23-5","","",""
"U$7","1","ICM-20649QFN3MM","ICM-20649QFN3MM","working:QFN24_3MM","","",""
"U$39, U$40, U$42, U$43","4","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
