"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R5,R4,R8,R6,R2";"RESPACK_4X0603";6;"22";;;
2;"LED19,LED42,LED82,LED111,LED49,LED40,LED66,LED69,LED11,LED24,LED57,LED33,LED100,LED54,LED76,LED108,LED62,LED109,LED107,LED53,LED18,LED1,LED36,LED101,LED34,LED60,LED59,LED71,LED85,LED91,LED7,LED68,LED41,LED20,LED31,LED12,LED14,LED38,LED78,LED61,LED6,LED21,LED90,LED22,LED67,LED46,LED17,LED84,LED25,LED64,LED29,LED50,LED32,LED98,LED35,LED113,LED55,LED45,LED37,LED99,LED30,LED65,LED102,LED43,LED3,LED28,LED4,LED8,LED116,LED83,LED105,LED89,LED16,LED114,LED48,LED52,LED70,LED93,LED72,LED80,LED110,LED79,LED15,LED92,LED77,LED74,LED73,LED87,LED13,LED117,LED58,LED86,LED51,LED26,LED44,LED39,LED56,LED97,LED94,LED96,LED106,LED5,LED104,LED75,LED112,LED81,LED88,LED103,LED63,LED2,LED95,LED115,LED10,LED47,LED23,LED9,LED27";"RGBLED_2121";117;"RGBLED_CA_2121";;;
3;"R14,R21,R16,R10,R19,R12,R18,R20,R17,R22,R13,R11,R15";"0603-NO";13;"51";;;
4;"R1";"0603-NO";1;"2.2K";;;
5;"R9,R23";"0603-NO";2;"22";;;
6;"FID1,FID2,FID3";"FIDUCIAL_1MM";3;"FIDUCIAL_1MM";;;
7;"U$4,U$3,U$5,U$6";"MOUNTINGHOLE_2.5_PLATED";4;"MOUNTINGHOLE2.5";;;
8;"U$10";"ADAFRUIT_5MM";1;"";;;
9;"C4,C5,C1,C3";"0805-NO";4;"10uF";;;
10;"CONN2,CONN1";"JST_SH4";2;"STEMMA_I2C_QT";;;
11;"JP5";"1X07_ROUND_76";1;"";;;
12;"X1";"QFN60_7MM";1;"IS31FL3741";;;
13;"C6,C2";"0603-NO";2;"1uF";;;
14;"R7";"RESPACK_4X0603";1;"4.7K";;;
15;"SJ2,SJ1,SJ3";"SOLDERJUMPER_ARROW_NOPASTE";3;"";;;
16;"SJ4";"SOLDERJUMPER_CLOSEDWIRE";1;"";;;
17;"U$11";"PCBFEAT-REV-040";1;"";;;
18;"U$16";"ADAFRUIT_TEXT_30MM";1;"";;;
