"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R2";"0603-NO";1;"1K";;;
2;"R11,R10";"0603-NO";2;"22";;;
3;"FID2,FID1,FID3,FID4";"FIDUCIAL_1MM";4;"FIDUCIAL_1MM";;;
4;"L2";"APA102_2020";1;"AP102-2020";;;
5;"JP4,JP2";"1X14_ROUND70";2;"";;;
6;"MDBT1";"MDBT50";1;"MDBT50";;;
7;"SW1,SW2";"BTN_KMR2_4.6X2.8";2;"KMR2";;;
8;"U$15";"PCBFEAT-REV-040";1;"";;;
9;"C2,C1";"_0603MP";2;"22pF";;;
10;"D2";"CHIPLED_0805_NOOUTLINE";1;"RED";;;
11;"U$12";"ITSYNRF52840_TOP";1;"";;;
12;"C4,C3";"0603-NO";2;"0.1uF";;;
13;"Y2";"XTAL3215";1;"32.768";;;
14;"X1";"4UCONN_20329_V2";1;"4u20329";;;
15;"SWC0,SWD0";"TP13R";2;"TPTP13R";;;
16;"D+0,D-0";"TP10R";2;"TPTP10R";;;
17;"D1,D3";"SOD-123";2;"MBR120";;;
18;"U$14";"ITSYNRF52840_BOT";1;"";;;
19;"C5,C8,C7";"0805-NO";3;"10uF";;;
20;"U2";"SOT23-5";1;"AP2112(3.3V)";;;
21;"IC2";"USON8";1;"GD25Q16";;;
22;"IC1";"SOT23-5";1;"74HCT1G125DBV";;;
23;"R1";"0603-NO";1;"10K";;;
