"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$4,U$3";"MOUNTINGHOLE_2.5_PLATED";2;"MOUNTINGHOLE2.5";;;
2;"C1,C5";"_0805";2;"10µF";;;
3;"U$17";"ADAFRUIT_3.5MM";1;"";;;
4;"U1";"LGA14";1;"LSM303DLHC";;;
5;"FID1,FID2";"FIDUCIAL_1MM";2;"FIDUCIAL""";;;
6;"U2";"SOT23-5";1;"RT9193";;;
7;"JP1";"1X08_ROUND_76";1;"";;;
8;"R2,R4,R3,R1";"_0805";4;"10K";;;
9;"C4";"_0805";1;"0.22µF";;;
10;"Q1,Q2";"SOT23-WIDE";2;"BSS138";;;
11;"C2";"_0805";1;"0.1uF";;;
12;"C3";"_0805";1;"4.70µF";;;
