"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_max31856_pcb_adafruit_max31856\current_version\working\working.kicad_sch"
"Date:","15/09/2023 04:22:22"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","23"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","0.01uF","CAP_CERAMIC0805_10MGAP","working:0805_10MGAP","","",""
"C2, C4, C5","3","0.1uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C3","1","0.01uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C6, C7","2","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"D1, D2, D3","3","1N4148","DIODESOD-323","working:SOD-323","","",""
"FID1, FID2","2","FIDUCIAL""""","FIDUCIAL{dblquote}{dblquote}","working:FIDUCIAL_1MM","","",""
"JP1","1","HEADER-1X970MIL","HEADER-1X970MIL","working:1X09_ROUND_70","","",""
"R1, R2","2","100","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R3, R4, R5","3","10K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"U1","1","mic5225-3.3","VREG_SOT23-5","working:SOT23-5","","",""
"U2","1","MAX31856","MAX31856","working:TSSOP14","","",""
"U$13, U$14","2","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
"X1","1","3.5mm term","TERMBLOCK_1X2","working:TERMBLOCK_1X2-3.5MM","","",""
