"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_max4466_electret_mic_amplifier_pcbs_adafruit_max4466_mic_amp\current_version\working\working.kicad_sch"
"Date:","15/09/2023 04:38:10"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","20"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","0.1µF","CAP_CERAMIC0805","working:0805","","",""
"C2","1","0.01uF","CAP_CERAMIC0805","working:0805","","",""
"C3","1","100pF","CAP_CERAMIC0805","working:0805","","",""
"C4","1","10uF","CAP_CERAMIC0805","working:0805","","",""
"FB1, FB2","2","FERRITE","FERRITE0805","working:0805","","",""
"FID1, FID2","2","FIDUCIAL""""","FIDUCIAL{dblquote}{dblquote}","working:FIDUCIAL_1MM","","",""
"JP1","1","HEADER-1X376MIL","HEADER-1X376MIL","working:1X03_ROUND_76","","",""
"Q1","1","CMA-4544PF-W","ELECTRET","working:ELECTRET_9.7","","",""
"R1, R2, R5","3","1K","RESISTOR0805","working:0805","","",""
"R3, R4","2","1M","RESISTOR0805","working:0805","","",""
"R7","1","22K","RESISTOR0805","working:0805","","",""
"U1","1","MAX4466EXK+T","MAX4466{dblquote}{dblquote}","working:SC70-5","","",""
"U$11, U$14","2","MOUNTINGHOLE2.5","MOUNTINGHOLE2.5","working:MOUNTINGHOLE_2.5_PLATED","","",""
"VR1","1","TC33X-2-104E (100K)","TRIMPOTTC33X-2","working:TRIMPOT_BOURNS_TC33X-2","","",""
