"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"0805-NO";1;"0.1uF";;;
2;"U$6,U$3";"MOUNTINGHOLE_2.5_PLATED";2;"MOUNTINGHOLE2.5";;;
3;"R3,R4,R1,R5,R2";"0805-NO";5;"10K";;;
4;"JP1";"1X08_ROUND_70";1;"";;;
5;"U2";"SOT23-5";1;"MIC5225-3.3";;;
6;"FID1,FID2";"FIDUCIAL_1MM";2;"FIDUCIAL""";;;
7;"C3,C2";"0805-NO";2;"10uF";;;
8;"U$10";"ADAFRUIT_2.5MM";1;"";;;
9;"Q2,Q1";"SOT23-WIDE";2;"BSS138";;;
10;"U1";"MMA845X_QFN_16MM";1;"MMA8451";;;
11;"C4";"0805_10MGAP";1;"0.1uF";;;
