"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"JP9,JP14,JP5,JP2,JP13,JP10,JP12,JP3,JP15,JP7,JP11,JP16,ADDR0,IRQ0";"1X01_ROUND";14;"";;;
2;"R1,R4,R3,R2";"0805-NO";4;"10K";;;
3;"Q1,Q2";"SOT23-WIDE";2;"BSS138";;;
4;"JP4,JP1";"1X08-CLEANBIG";2;"";;;
5;"AL1,AL11,AL3,AL10,AL12,AL2,AL8,AL5,AL6,AL7,AL4,AL9";"ALLIGATORCLIP";12;"ALLIGATORCLIP_MICRO";;;
6;"C4,C3";"0805-NO";2;"0.1uF";;;
7;"D1";"CHIPLED_0805_NOOUTLINE";1;"RED";;;
8;"C2,C5";"0805-NO";2;"10uF";;;
9;"JP8";"1X06-CLEANBIG";1;"";;;
10;"@HOLE2,@HOLE0,@HOLE1";"";3;"";;;
11;"R5,R6";"0805-NO";2;"75K";;;
12;"U$8";"PCBFEAT-REV-040";1;"";;;
13;"FID1,FID2,FID3";"FIDUCIAL_1MM";3;"FIDUCIAL""";;;
14;"U2";"QFN20_3MM_NOTHERMAL";1;"MPR121";;;
15;"JP6";"1X10_ROUND70";1;"";;;
16;"R7";"0805-NO";1;"1K";;;
17;"U$41";"ARDUINOR3_ICSP";1;"ARDUINO_R3_ICSP";;;
18;"U$9";"ADAFRUIT_TEXT_20MM";1;"";;;
19;"SW2";"EVQ-Q2";1;"SPST_TACT-EVQQ2";;;
20;"U4";"SOT23-5";1;"MIC5225-3.3";;;
