"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"BLE_MODULE_RAYTAC_MDBT42";1;"MDBT42";;;
2;"D5";"SOD-123";1;"MBR120";;;
3;"C13,C9";"_0603MP";2;"300pF";;;
4;"JP1,JP2";"1X01_2MM";2;"";;;
5;"R9,R3,R2,R1";"0603-NO";4;"1K";;;
6;"C12";"0603-NO";1;"1nF";;;
7;"U3";"SOT23-5";1;"MCP73831T-2ACI/OT";;;
8;"C2,C1";"0603-NO";2;"22pF";;;
9;"D2";"CHIPLED_0805_NOOUTLINE";1;"BLUE";;;
10;"X3";"4UCONN_20329_V2";1;"4u20329";;;
11;"SW2,SW1";"BTN_KMR2_4.6X2.8";2;"KMR2";;;
12;"L2";"0805-NO";1;"10uH";;;
13;"C8,C6,C5";"0805-NO";3;"10µF";;;
14;"U$49";"ADAFRUIT_3.5MM";1;"";;;
15;"R4";"0603-NO";1;"806K";;;
16;"Q3";"SOT23-R";1;"DMG3415U-7";;;
17;"R8,R7";"0603-NO";2;"10K";;;
18;"C7";"0805-NO";1;"10uf";;;
19;"CHG0";"CHIPLED_0805_NOOUTLINE";1;"ORANGE";;;
20;"MS1";"FEATHERWING_NODIM";1;"FEATHERWING_NODIM";;;
21;"X2";"JSTPH2";1;"JSTPH";;;
22;"X4";"XTAL3215";1;"32.768";;;
23;"R12";"0603-NO";1;"100k";;;
24;"D1";"CHIPLED_0805_NOOUTLINE";1;"RED";;;
25;"C4";"0603-NO";1;"1uF";;;
26;"C11,C10";"0603-NO";2;"0.1uF";;;
27;"FID1,FID3";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
28;"U4";"QFN24_4MM_SMSC";1;"CP2104";;;
29;"R5";"0603-NO";1;"100K";;;
30;"D4";"SOD-323";1;"1N4148";;;
31;"R6";"0603-NO";1;"2M";;;
32;"U2";"SOT23-5";1;"AP2112(3.3V)";;;
33;"X1";"2X05_1.27MM_BOX_POSTS";1;"4u20317";;;
34;"C3";"0805-NO";1;"10uF";;;
35;"U$46";"FEATHERLOGO_MED";1;"";;;
36;"U$17";"PCBFEAT-REV-040";1;"";;;
37;"U$45";"BLUEFRUITLOGO_100MM";1;"";;;
38;"TP2";"PAD-1.5X2.0";1;"FRST";;;
39;"TP3,TP4";"TESTPOINT_ROUND_2MM";2;"";;;
40;"U$47";"ADAFRUIT_5MM";1;"";;;
41;"SJ2";"SOLDERJUMPER_CLOSEDWIRE";1;"BAT";;;
