"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FID2,FID1";"FIDUCIAL_1MM";2;"FIDUCIAL_1MM";;;
2;"Q2";"BTN_KMR2_4.6X2.8";1;"reset";;;
3;"R4";"0603-NO";1;"2.2K";;;
4;"U1";"SOT23-5";1;"AP2112K-3.3";;;
5;"IC3";"QFN32_5MM";1;"ATSAMD21E";;;
6;"C5,C4";"0603-NO";2;"1uF";;;
7;"IC2";"TSOP75XYY";1;"TSOP75XYY";;;
8;"CN1";"USBA_PCB";1;"";;;
9;"U$12";"ADAFRUIT_3.5MM";1;"";;;
10;"C3,C8";"0805-NO";2;"10uF";;;
11;"LED2";"APA102_2020";1;"AP102-2020";;;
12;"U$8";"ADAFRUIT_TEXT_20MM";1;"";;;
13;"SWD0,RST0";"TP16R";2;"TPTP16R";;;
14;"SWC0";"TP15R";1;"TPTP15R";;;
