"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"SOD-323";1;"1N4148";;;
2;"U$1";"RELAY_G5LE-1";1;"RELAY_G5LE";;;
3;"D2";"CHIPLED_0805_NOOUTLINE";1;"RED";;;
4;"SJ1";"SOLDERJUMPER_CLOSEDWIRE";1;"";;;
5;"R3,R1";"0805-NO";2;"1K";;;
6;"MS2";"FEATHERWING";1;"FEATHERWING";;;
7;"R2";"0805-NO";1;"10K";;;
8;"U$5";"PCBFEAT-REV-040";1;"";;;
9;"SW1";"BTN_KMR2_4.6X2.8";1;"KMR2";;;
10;"JP1";"TERMBLOCK_1X3_5.08MM";1;"";;;
11;"JP2";"1X01_ROUND";1;"";;;
12;"Q1";"SOT23-R";1;"MMBT2222";;;
13;"U$6";"ADAFRUIT_3.5MM";1;"";;;
14;"SJ20,SJ17,SJ7,SJ9,SJ19,SJ4,SJ8,SJ2,SJ18,SJ3,SJ16";"SOLDERJUMPER_ARROW_NOPASTE";11;"";;;
15;"U$7";"FEATHERLOGO_MED";1;"";;;
