"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_qt_py_pcb_adafruit_qt_py\current_version\working\working.kicad_sch"
"Date:","16/09/2023 06:02:17"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","24"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C8","2","10uF","CAP_CERAMIC_0805MP","working:_0805MP","","",""
"C2, C3","2","1uF","CAP_CERAMIC_0402NO","working:_0402NO","","",""
"CONN1","1","STEMMA_I2C_QTSKINNY","STEMMA_I2C_QTSKINNY","working:JST_SH4_SKINNY","","",""
"D1","1","  NSR0320","DIODE_SOD323MINI","working:SOD-323_MINI","","",""
"IC3","1","ATSAMD21E","ATSAMD21E","working:QFN32_5MM","","",""
"JP1, JP3","2","HEADER-1X7_CASTEL","HEADER-1X7_CASTEL","working:1X07_CASTEL","","",""
"LED1","1","WS2812B_SK6805_1515","WS2812B_SK6805_1515","working:SK6805_1515","","",""
"Q2","1","reset","SWITCH_TACT_SMT4.6X2.8","working:BTN_KMR2_4.6X2.8","","",""
"R1, R5, R6","3","5.1K","RESISTOR_0402NO","working:_0402NO","","",""
"SWC0, SWC1","2","TPB1,27","TPB1,27","working:B1,27","","",""
"SWD0","1","TPB1,27","TPB1,27","working:B1,27","","",""
"TP1, TP2","2","TESTPOINT_1X3","TESTPOINT_1X3","working:TESTPOINT_RECT_1X3MM","","",""
"U1","1","AP2112K-3.3","VREG_SOT23-5","working:SOT23-5","","",""
"U2","1","SPIFLASH_8PIN","SPIFLASH_8PIN","working:SOIC8_150MIL","","",""
"U$6, U$8","2","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"X6","1","USB TYPE C","USB_C","working:USB_C_CUSB31-CFM2AX-01-X","","",""
