"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$23,U$21,U$22,U$24";"MOUNTINGHOLE_2.5_PLATED";4;"MOUNTINGHOLE2.5";;;
2;"R3";"0805-NO";1;"1M";;;
3;"FID2,FID3,FID1";"FIDUCIAL_1MM";3;"FIDUCIAL""";;;
4;"C1,C6,C8,C4,C7,C10,C5,C12,C9,C11";"0805-NO";10;"0.1uF";;;
5;"C16,C22";"_0805MP";2;"10uF";;;
6;"U5";"SOIC16";1;"74HC4050";;;
7;"L1";"INDUCTOR_5X5MM_NR5040_NOTHERMALS";1;"6.8uH large inductor";;;
8;"R7,R5,R8,R6,R4";"RESPACK_4X0603";5;"33";;;
9;"R12";"0805-NO";1;"10K";;;
10;"C20,C17";"_0805MP";2;"1uF";;;
11;"R1";"_0805MP";1;"3Ω";;;
12;"R10,R9";"_0805MP";2;"12Ω";;;
13;"D1";"SMADIODE";1;"MM3Z24VT1G";;;
14;"C18";"_0805MP";1;"0.1uF";;;
15;"Y1";"CRYSTAL_3.2X2.5";1;"20MHz";;;
16;"D2";"SOD-123";1;"MBR0540";;;
17;"U1";"LQFP100";1;"RA8875";;;
18;"JP1";"1X15-CB";1;"Breakout";;;
19;"C2,C3";"0805-NO";2;"20pF";;;
20;"J1";"4-1734839-0";1;"40PINFPCM4-1734839-0";;;
21;"U3";"SOT23-5@1";1;"FAN5333BSX";;;
22;"U$18";"ADAFRUIT_5MM";1;"";;;
23;"C21,C19";"_0805MP";2;"10µF";;;
24;"R11";"_0805MP";1;"10K";;;
25;"D4,D3";"SOD-323F";2;"1N4148";;;
26;"FB2";"_0805MP";1;"Ferrite";;;
27;"U4";"SOT23-5";1;"MIC5225-3.3v";;;
28;"SJ1";"SOLDERJUMPER_ARROW_NOPASTE";1;"+25mA";;;
29;"U$25";"ADAFRUIT_TEXT_20MM";1;"";;;
30;"SJ2";"SOLDERJUMPER_ARROW_NOPASTE";1;"+100mA";;;
