"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"SOT23-5";1;"AP2112K-3.3";;;
2;"JP4,JP3";"1X05_ROUND_76";2;"";;;
3;"C8,C1";"0805-NO";2;"10uF";;;
4;"PWR0";"CHIPLED_0603_NOOUTLINE";1;"green";;;
5;"D2,D3";"SOD-123FL";2;"SCHOTTKY";;;
6;"CN1";"4UCONN_20329_V2";1;"4U#20329";;;
7;"@HOLE1,@HOLE0";"";2;"";;;
8;"LED1";"APA102_2020";1;"AP102-2020";;;
9;"C2,C3";"0603-NO";2;"1uF";;;
10;"U$20";"TRINKET_M0_TOP";1;"";;;
11;"U$9,U$8";"MOUNTINGHOLE_2.0_PLATED";2;"MOUNTINGHOLE2.0";;;
12;"U$6";"FIDUCIAL_1MM";1;"FIDUCIAL_1MM";;;
13;"L0";"CHIPLED_0603_NOOUTLINE";1;"red";;;
14;"R1";"0603-NO";1;"1.5K";;;
15;"Q2";"BTN_KMR2_4.6X2.8";1;"reset";;;
16;"IC3";"QFN32_5MM";1;"ATSAMD21E";;;
17;"R4";"0603-NO";1;"10K";;;
18;"BAT0";"JSTPH2";1;"JST-2PH";;;
19;"SWC0,SWD0";"B1,27";2;"TPB1,27";;;
20;"U$1";"TRINKET_M0_BOTTOM";1;"";;;
21;"U$12";"PCBFEAT-REV-040";1;"";;;
