"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_ultimate_gps_adafruit_ultimate_gps_hat\current_version\working\working.kicad_sch"
"Date:","16/09/2023 22:48:15"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","22"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"B1","1","CR1220","BATTERYCR1220_2","working:CR1220-2","","",""
"C1","1","0.1uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"C2","1","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"FB1","1","Ferrite","FERRITE-0805NO","working:0805-NO","","",""
"FID1, FID2","2","FIDUCIAL""""","FIDUCIAL{dblquote}{dblquote}","working:FIDUCIAL_1MM","","",""
"JP1","1","HEADER-1X4ROUND","HEADER-1X4ROUND","working:1X04_ROUND","","",""
"JP2","1","HEADER-1X570MIL","HEADER-1X570MIL","working:1X05_ROUND_70","","",""
"JP3","1","HEADER-1X2ROUND","HEADER-1X2ROUND","working:1X02_ROUND","","",""
"JP4","1","HEADER-1X10ROUND","HEADER-1X10ROUND","working:1X10_ROUND","","",""
"LED1","1","RED","LED0805_NOOUTLINE","working:CHIPLED_0805_NOOUTLINE","","",""
"MS1","1","FEATHERWING","FEATHERWING","working:FEATHERWING","","",""
"Q1","1","DMG3415U-7 ","MOSFET-PWIDE","working:SOT23-WIDE","","",""
"R1","1","470 ohm","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R2","1","100K","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"SJ1","1","SOLDERJUMPER","SOLDERJUMPER","working:SOLDERJUMPER_ARROW_NOPASTE","","",""
"SJ2, SJ3","2","SOLDERJUMPERCLOSED","SOLDERJUMPERCLOSED","working:SOLDERJUMPER_CLOSEDWIRE","","",""
"SW1","1","KMR2","SWITCH_TACT_SMT4.6X2.8","working:BTN_KMR2_4.6X2.8","","",""
"TP1","1","TESTPOINTROUND1.5MM","TESTPOINTROUND1.5MM","working:TESTPOINT_ROUND_1.5MM","","",""
"U1","1","FGPMMOPA6H","GPS_FGPMMOPA6H","working:FGPMMOPA6H","","",""
"X1","1","uFL","ANTENNA_U.FL","working:U.FL","","",""
