"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_adafruit_usb_power_gauge_pcb_adafruit_usb_power_gauge\current_version\working\working.kicad_sch"
"Date:","17/09/2023 00:05:57"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","20"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C8","1","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"FID1, FID2","2","FIDUCIAL""""","FIDUCIAL{dblquote}{dblquote}","working:FIDUCIAL_1MM","","",""
"IC3","1","ATTINY85S","ATTINY85S","working:SOIC8","","",""
"JP1","1","PINHD-1X1CB","PINHD-1X1CB","working:1X01-CLEANBIG","","",""
"JP2","1","PINHD-1X6CB","PINHD-1X6CB","working:1X06-CLEANBIG","","",""
"L1, L2, L3, L5, L6","5","Blue","LED0805_NOOUTLINE","working:CHIPLED_0805_NOOUTLINE","","",""
"L4","1","Green","LED0805_NOOUTLINE","working:CHIPLED_0805_NOOUTLINE","","",""
"R1, R3, R6","3","470","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"R2","1","10K 1%","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"RSHUNT0","1","0.1/1% 0.1W+","RESISTOR0805_NOOUTLINE","working:0805-NO","","",""
"U2","1","INA169","INA169","working:SOT23-5","","",""
"X2","1","USB_TYPEA_CLIENTTHM","USB_TYPEA_CLIENTTHM","working:USB_A-THM","","",""
"X3","1","USB_TYPEAPTHFML","USB_TYPEAPTHFML","working:USB_HOST-PTH","","",""
