"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adafruit_rp2040_based_tester_brains_pcb_adafruit_rp2040_tester_brains_rev_a\current_version\working\working.kicad_sch"
"Date:","17/09/2023 18:38:57"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","47"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3, C4, C5, C6, C7, C8, C9","9","10uF","CAP_CERAMIC0805-NOOUTLINE","working:0805-NO","","",""
"CB1","1","PICOWBELL_DUALSMT","PICOWBELL_DUALSMT","working:PICOWBELL_DUALSMT","","",""
"CONN1","1","STEMMA_I2C_QT","STEMMA_I2C_QT","working:JST_SH4","","",""
"FID1, FID2, FID3","3","FIDUCIAL_1MM","FIDUCIAL_1MM","working:FIDUCIAL_1MM","","",""
"IC1","1","WS2811-SOP8","WS2811-SOP8","working:SO08-SKINNYPADS","","",""
"JP1","1","16x2 LCD","PINHD-2X20_SMT","working:2X20_SMT_MALE","","",""
"JP8","1","HEADER-1X12OVAL","HEADER-1X12OVAL","working:1X12_OVAL","","",""
"Q1, Q2","2","DMG34x5","MOSFET-PWIDE","working:SOT23-WIDE","","",""
"Q3, Q4, Q5","3","BSS138","MOSFET-NWIDE","working:SOT23-WIDE","","",""
"R1, R2, R3, R4, R5","5","10K","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"R6, R7, R8, R9","4","27","RESISTOR_0603_NOOUT","working:0603-NO","","",""
"SP1","1","SPEAKER/PS12","SPEAKER/PS12","working:PS12","","",""
"SW1","1","12mm SMT","SWITCH_TACT_SMT_12MM","working:B3F-40XX-SMT","","",""
"SW2","1","DPDT SLIDE","SWITCH_DPDTEG1390","working:EG1390","","",""
"TFT1","1","DISP_LCD_ST7789_1.9IN_SS","DISP_LCD_ST7789_1.9IN_SS","working:TFT_1.9IN_170X320_30P_SS","","",""
"TP1, TP2, TP3, TP4","4","SEWTAP_SMTNUTM3","SEWTAP_SMTNUTM3","working:SMT_NUT_3MM","","",""
"U$7, U$8, U$9, U$10","4","MOUNTINGHOLE3.0THIN","MOUNTINGHOLE3.0THIN","working:MOUNTINGHOLE_3.0_PLATEDTHIN","","",""
"VR1","1","10K Trimmer","TRIMPOTTC33X-2","working:TRIMPOT_BOURNS_TC33X-2","","",""
"X1","1","USB A","USB_TYPEA_SMT","working:USB_HOST-SMT","","",""
"X2","1","MicroSD","MICROSD","working:MICROSD","","",""
"X3","1","TESTER_PROGCABLE_FLIP","TESTER_PROGCABLE_FLIP","working:FPC_0.5MM_18PIN","","",""
