"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C7,C15,C16,C22,C30";"0805";6;"22µ";;;
2;"C2,C11,C13,C17,C26,C28,C31,C32";"0402";8;"100n";;;
3;"C3,C12,C18,C27";"0402";4;"4n7";;;
4;"C5,C9,C20,C24";"0402";4;"220p";;;
5;"C6,C8,C21,C23";"0402";4;"47p";;;
6;"C10,C14,C25,C29";"0402";4;"1µ";;;
7;"D1,D2,D3,D4";"0603-LED";4;"SCHOTTKY";;;
8;"IC1,IC2";"QFN-40-EP-LTC-UJ";2;"LTC3887";;;
9;"J1";"TFML-110-02-L-D";1;"WEST TOP";;;
10;"J4";"TFML-110-02-L-D";1;"EAST TOP";;;
11;"L1,L2,L3,L4";"TYS5040";4;"10µ";;;
12;"Q1,Q2,Q3,Q4";"PowerPair3x3";4;"SiZ340DT";;;
13;"R1,R13,R14,R26";"0603";4;"50m";;;
14;"R2,R15,R18,R20";"0402";4;"10k";;;
15;"R3,R6,R9,R11,R16,R19,R22,R24";"0402";8;"100";;;
16;"R4,R12,R17,R25,R7,R5";"0402";6;"4k99";;;
17;"R8,R21";"0402";2;"24k9";;;
18;"R10";"0402";1;"9k09";;;
19;"R23";"0402";1;"11k3";;;
20;"J3";"TFML-105-02-L-D";1;"NORTH TOP";;;
21;"C19,C4";"0402";2;"4µ7";;;
22;"REF**";"SIL-254P-01";1;"SIL-254P-01";;;
23;"J2";"SFML-110-02-L-D-LC";1;"WEST BOT";;;
24;"J5";"SFML-110-02-L-D-LC";1;"EAST BOT";;;
25;"J6";"SFML-105-02-L-D-LC";1;"NORTH BOT";;;
26;"G***";"cusf_logo_full";1;"LOGO";;;
