"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adamgreig_m3_avionics_m3radio\current_version\working\working.kicad_sch"
"Date:","18/09/2023 12:54:41"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","47"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C4, C9, C10, C104, C105, C107, C108, C109, C112, C113","11","100n","C","agg:0402","","",""
"C2, C3, C7, C8, C106","5","1u","C","agg:0402","","",""
"C5, C11","2","1n","C","agg:0402","","",""
"C103","1","4u7","C","agg:0402","","",""
"C110, C111","2","2u2","C","agg:0402","","",""
"D1","1","ESD_DIODE","ESD_DIODE","agg:0402","","",""
"D101","1","RED","LED","agg:0603-LED","","",""
"D102","1","GRN","LED","agg:0603-LED","","",""
"IC1","1","NCP380","NCP380","agg:DFN-6-EP-ONSEMI","","",""
"IC2","1","NC7SZ04","NC7SZ04","agg:SOT-23-5","","",""
"IC3","1","CS2100-CP","CS2100-CP","agg:MSOP-10","","",""
"IC4","1","SL18860DC","SL18860DC","agg:DFN-10-SL18860DC","","",""
"IC5","1","MAX_M8Q","MAX_M8Q","agg:MAX-M8Q","","",""
"IC6","1","SN74LVC1G0832","SN74LVC1G0832","agg:SC-70-6","","",""
"IC101","1","STM32F405RxTx","STM32F405RxTx","agg:LQFP-64","","",""
"IC102","1","MCP2562","MCP2562","agg:DFN-8-EP-MICROCHIP","","",""
"J101","1","WEST TOP","CONN_02x10","agg:TFML-110-02-L-D","","",""
"J102","1","WEST BOT","CONN_02x10","agg:SFML-110-02-L-D-LC","","",""
"J103","1","EAST TOP","CONN_02x10","agg:TFML-110-02-L-D","","",""
"J104","1","EAST BOT","CONN_02x10","agg:SFML-110-02-L-D-LC","","",""
"L1, L2, L3","3","91nH","L","agg:0402-L","","",""
"P101","1","COAX","COAX","M3radio:U.FL-R-SMT-1","","",""
"R1","1","10","R","agg:0603","","",""
"R2","1","110k","R","agg:0402","","",""
"R3","1","1M","R","agg:0402","","",""
"R102, R103","2","100","R","agg:0402","","",""
"U1","1","NCP4620","NCP4620","agg:SC-70-5","","",""
"Y1","1","TCXO","TCXO","agg:TG-5006CG","","",""
