"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3,C5,C6";"0603";4;"100n";;;
2;"C2";"0603";1;"4u7";;;
3;"C4";"0603";1;"10n";;;
4;"C7";"0603";1;"10u";;;
5;"IC1";"SOIC-8";1;"LMx93";;;
6;"P2";"S02B-PASK-2";1;"BUS_IN";;;
7;"P3";"S02B-PASK-2";1;"BUS_OUT";;;
8;"P4";"TC2030-NL";1;"SWD_TC";;;
9;"P5";"Pin_Header_Straight_1x04";1;"LEDs";;;
10;"R1,R2";"0603";2;"10k";;;
11;"U1";"TO-252-3";1;"LD1117S33TR";;;
12;"IC2";"QFN-32-EP-ST";1;"STM32F0xxKxUx";;;
13;"Q1,Q2,Q3,Q4";"SOT-323";4;"MTM232270LBF";;;
14;"C8";"0603";1;"1u";;;
15;"TP1";"TESTPAD";1;"RST";;;
16;"R3";"0603";1;"1M";;;
17;"P1";"minipow_edge";1;"POWER_IN";;;
18;"SP1";"piezo";1;"SPEAKER";;;
