"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adamjvr_esp3212_breakout_esp3212_breakout\current_version\working\_autosave-working.kicad_sch"
"Date:","22/09/2023 19:24:35"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","14"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","CL10A106KQ8NNNC","CL10A106KQ8NNNC","PCB_Footprints:C0603","","",""
"C2","1","CL05B104JP5NNNC","CL05B104JP5NNNC","PCB_Footprints:C0402","","",""
"C3","1","GRM155R71C104KA88D","GRM155R71C104KA88D","OnHand-Components:C0402","","",""
"LED1","1","5988140107F","5988140107F","OnHand-Components:LED0805Y","","",""
"P1, P5","2","CONN_01X18","CONN_01X18","Pin_Headers:Pin_Header_Straight_1x18","","",""
"P2, P3, P4","3","CONN_01X02","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02","","",""
"R1, R2","2","ERJ-3EKF1001V","ERJ-3EKF1001V","OnHand-Components:R0603","","",""
"SW1","1","TL3301AF160QG","TL3301AF160QG","OnHand-Components:TL3301AF160QG","","",""
"U1","1","AZ1117CR-3.3TRG1_1","AZ1117CR-3.3TRG1_1","PCB_Footprints:AZ1117CR-3.3TRG1","","",""
"U2","1","ESP3212","ESP3212","ESP32-footprints-Lib:ESP3212","","",""
