"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\adamjvr_solare_bq24210_solare_bq24210\current_version\working\working.kicad_sch"
"Date:","22/09/2023 22:29:11"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","15"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","CL05A105KA5NQNC","CL05A105KA5NQNC","PCB_Footprints:C0402","","",""
"J1, J3, J4","3","S2B-PH-K-S(LF)(SN)","S2B-PH-K-S(LF)(SN)","PCB_Footprints:S2B-PH-K-S(LF)(SN)","","",""
"J2","1","S3B-PH-K-S(LF)(SN)","S3B-PH-K-S(LF)(SN)","PCB_Footprints:S3B-PH-K-S(LF)(SN)","","",""
"LED1","1","LTST-C191KGKT","LTST-C191KGKT","PCB_Footprints:LED0603","","",""
"LED2","1","LTST-C191KFKT","LTST-C191KFKT","PCB_Footprints:LED0603","","",""
"R1, R3","2","RC1005F102CS","RC1005F102CS","PCB_Footprints:R0402","","",""
"R2","1","RC1005F4870CS","RC1005F4870CS","PCB_Footprints:R0402","","",""
"R4, R5","2","RC1608J202CS","RC1608J202CS","PCB_Footprints:R0603","","",""
"R6, R7","2","ERA-3AEB3741V","ERA-3AEB3741V","PCB_Footprints:R0603","","",""
"U1","1","BQ24210DQCT","BQ24210DQCT","PCB_Footprints:BQ24210","","",""
