"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\aewallin_picdiv_board_v3_picdiv_board_v3\current_version\working\working.kicad_sch"
"Date:","23/09/2023 00:30:28"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","81"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"3V3, 3V101","2","TEST_3V3","TestPoint_2Pole","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","2-polar test point","",""
"6V101","1","TEST_6V","TestPoint_2Pole","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","2-polar test point","",""
"C1, C13","2","10n","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","",""
"C2, C4, C12, C17, C20, C106, C107, C108","8","100n","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","",""
"C3, C10","2","C","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","",""
"C5, C7, C9, C101, C102, C103, C104","7","10u","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","",""
"C6, C8","2","C_Trim","C_Trim","Capacitor_SMD:C_Trimmer_Murata_TZB4-A","Trimmable capacitor","",""
"CLK101","1","TEST_CLK","TestPoint_2Pole","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","2-polar test point","",""
"D1","1","D","D","awallinKiCadFootprints:DIODE_DO-214BA","Diode","",""
"D3, D101, D102","3","LED","LED","LED_SMD:LED_0805_2012Metric","Light emitting diode","",""
"D4","1","PPS_BLINK","LED","LED_SMD:LED_0805_2012Metric","Light emitting diode","",""
"D5","1","1N4148","D","Diodes_SMD:D_SOD-123","Diode","",""
"FL1","1","Filter_EMI_LL_1423","Filter_EMI_LL_1423","Filter:Filter_Bourns_SRF0905_6.0x9.2mm","EMI 2-inductor filter, pin-connections 1-4 and 2-3","",""
"FL102","1","BNX025","BNX025","Filter:Filter_Murata_BNX025_ThermalVias","EMI Filter SMD, Murata BNX025","",""
"J1","1","DC-Input","Conn_01x02","Connectors_Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4","1","SYNC","Conn_Coaxial","Connector_Coaxial:SMA_Molex_73251-2200_Horizontal","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","",""
"J6","1","PPS_B","Conn_Coaxial","Connector_Coaxial:SMA_Molex_73251-2200_Horizontal","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","",""
"J8","1","SYNC","Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","",""
"J10","1","PPS_B","Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","",""
"J14","1","TEST_1PPS","TestPoint_2Pole","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","2-polar test point","",""
"J101, J104","2","MountingHole_M2.5","MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_DIN965_Pad","Mounting Hole with connection","",""
"J102","1","Conn_Coaxial","Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","",""
"J103","1","Conn_Coaxial","Conn_Coaxial","Connector_Coaxial:SMA_Molex_73251-2200_Horizontal","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","",""
"J105","1","Conn_01x06","Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J106","1","PPS_A","Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","",""
"J107","1","PPS_A","Conn_Coaxial","Connector_Coaxial:SMA_Molex_73251-2200_Horizontal","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","",""
"L1","1","100u (1210)","L","Inductor_SMD:L_1210_3225Metric","Inductor","",""
"L2, L4, L101","3","2u2","L","Inductor_SMD:L_0805_2012Metric","Inductor","",""
"Q1, Q2","2","Q_PNP_BEC","Q_PNP_BEC","TO_SOT_Packages_SMD:SOT-23","PNP transistor, base/emitter/collector","",""
"R1","1","49R9","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R2, R7, R9","3","3k3","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R3, R8","2","6k8","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R4, R5","2","220R","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R6","1","270R","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R10","1","300k","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
"R11","1","2k7","R","Resistor_SMD:R_0805_2012Metric","Resistor","",""
