"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"PinHeadet_1x21Compact";1;"Address_Control_Power";;;
2;"J3";"BreadBoard";1;"Breadboard";;;
3;"J2";"PinHeadet_1x21Compact";1;"Chip_Select_Measurement";;;
4;"C5,C6,C4,C2,C1,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"10uF";;;
5;"REF**,REF**,REF**";"Fiducial_1mm_Mask2mm";3;"Fiducial_1mm_Mask2mm";;;
6;"JP1,JP2,JP3";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";3;"SolderJumper_2_Bridged";;;
7;"JP7,JP5,JP6,JP4";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";4;"SolderJumper_3_Bridged12";;;
8;"D7,D6,D2,D4,D8,D3,D5,D1";"LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm";8;"LED_Small_ALT";;;
9;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"220R";;;
10;"H,B,F,D,G,C,E,A";"PLCC-44_16.6x16.6mm_P1.27mm";8;"MT8816AP";;;
