"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"10uF";;;
2;"C2";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"680nF";;;
3;"R1,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1.5K";;;
4;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"47K";;;
5;"P2";"Altech_AK300_1x02_P5.00mm_45-Degree";1;"OUT";;;
6;"P3";"Altech_AK300_1x02_P5.00mm_45-Degree";1;"POWER";;;
7;"P4";"Altech_AK300_1x02_P5.00mm_45-Degree";1;"CONN_2";;;
8;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100K";;;
9;"U1";"Valve_ECC-83-1";1;"ECC83";;;
10;"P1";"Altech_AK300_1x02_P5.00mm_45-Degree";1;"IN";;;
