"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\axello_kicad_sonde_xilinx\current_version\working\working.kicad_sch"
"Date:","26/09/2023 23:06:45"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","25"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","1uF","CP","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P12.50mm_Horizontal","","",""
"C2, C3, C4, C5","4","100pF","C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","","",""
"D1, D2","2","BAT46","DIODESCH","Diode_THT:D_A-405_P7.62mm_Horizontal","","",""
"J1","1","DB25MALE","DB25","Connector_Dsub:DSUB-25_Male_EdgeMount_P2.77mm","","",""
"J2","1","DB9MALE","DB9","Connector_Dsub:DSUB-9_Male_EdgeMount_P2.77mm","","",""
"P1","1","CONN_6","CONN_6","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","","",""
"R1, R6, R7, R8, R9, R10, R11, R12, R13, R14","10","100","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","",""
"R2","1","5,1K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","",""
"R4","1","47","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","",""
"R5","1","1K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","",""
"U1, U2","2","74LS125","74LS125","Package_DIP:DIP-14_W7.62mm_LongPads","","",""
