"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BUS1";"BUS_PC";1;"BUSPC";;;
2;"R4,R5";"R3";2;"330";;;
3;"D1,D2";"LED-5MM";2;"LED";;;
4;"U9";"PGA120";1;"4003APG120";;;
5;"C6,C5,C4,C1";"CP6";4;"47uF";;;
6;"R1";"R3";1;"100K";;;
7;"R2";"R3";1;"1K";;;
8;"X1";"HC-18UH";1;"8MHz";;;
9;"C2,C3";"C_Disc_D3_P2.5";2;"47pF";;;
10;"U5";"DIP-32__600";1;"628128";;;
11;"R3";"R3";1;"10K";;;
12;"P1";"DB25FC";1;"DB25FEMELLE";;;
13;"RR1";"r_pack9";1;"9x1K";;;
14;"JP1";"Pin_Header_Straight_2x08";1;"CONN_8X2";;;
15;"U1";"DIP-20__300";1;"74LS245";;;
16;"U2";"DIP-20__300";1;"74LS688";;;
17;"U3";"DIP-20__300";1;"74LS541";;;
18;"U8";"DIP-24__300";1;"EP600";;;
19;"G***";"LOGO";1;"LOGO";;;
