"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\boul51_tftoscillo_osc_input\current_version\working\_autosave-working.kicad_sch"
"Date:","28/09/2023 13:22:18"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","20"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","100uF","CP","Capacitors_THT:C_Radial_D10_L20_P5","","",""
"DM1, DM2","2","1N4007","D","boul51:Diode-DO41","","",""
"DP1, DP2","2","1N4007","D","boul51:Diode-DO41","","",""
"P1","1","CONN_01X04","CONN_01X04","boul51:PinHeader_x4","","",""
"P2","1","CONN_01X03","CONN_01X03","boul51:PinHeader_x3","","",""
"Q1","1","BC547b","BC547","boul51:TO-92_1","","",""
"Q2","1","BC547b","BC547","boul51:TO-92_2","","",""
"RB1, RB2","2","33k","R","Resistors_THT:Resistor_Horizontal_RM10mm","","",""
"RE1, RE2","2","1k","R","Resistors_THT:Resistor_Horizontal_RM10mm","","",""
"RGND1, RGND2","2","56k","R","Resistors_THT:Resistor_Horizontal_RM10mm","","",""
"RSIG1, RSIG2","2","1MEG","R","Resistors_THT:Resistor_Horizontal_RM10mm","","",""
"RV1, RV2","2","47k","RVAR","boul51:Pot_5x8mm","","",""
"U1","1","LM2931A","LM2931A","TO_SOT_Packages_THT:TO-220_Neutral123_Vertical","","",""
