"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\celeritous_stm32l151vdt_module_stm32l151vdt_module\current_version\working\working.kicad_sch"
"Date:","28/09/2023 00:44:02"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","48"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3, C4","4","12pF","12pF","Kicad:P0603","","",""
"C5, C7, C9, C11, C13, C15, C17, C19","8","0.10uF","0.10uF","Kicad:P0603","","",""
"C6, C8, C10, C12, C14, C16, C18, C20","8","10.0uF","10.0uF","Kicad:P0603","","",""
"C21","1","1.0uF","1.0uF","Kicad:P0603","","",""
"D1","1","Led_Small","Led_Small","Kicad:D0805","","",""
"D2","1","SMLJ33ABCT","SMLJ33ABCT","Kicad:SOD128","","",""
"D3","1","USBLC6-2","USBLC6-2","Kicad:SOT23-6","","",""
"F1","1","FUSE_PTC_.5A_33V","FUSE_PTC_.5A_33V","Kicad:P1812","","",""
"J1","1","SOCKET_MICRO_SD_SMT_3M","SOCKET_MICRO_SD_SMT_3M","Kicad:CONN_SDMICRO_3M","","",""
"J2","1","USB_MINI_B_SMD","USB_MINI_B_SMD","Kicad:CONN_USB_UX60-MB","","",""
"L1","1","FERRITE_BEAD","FERRITE_BEAD","Kicad:P0603","","",""
"MOD1","1","MODULE_ESP07_WIFI","MODULE_ESP07_WIFI","Kicad:MODULE_ESP07_WIFI","","",""
"P1, P2","2","Header_2x1","Header_2x1","Kicad:Header_2x1_Shrouded_100mil","","",""
"P3, P4","2","Header_2x17","Header_2x17","Kicad:Header_2x17_Shrouded_100mil","","",""
"P5","1","CONN_1x4","CONN_1x4","Kicad:Connector_1x4_100mil_TH","","",""
"R1, R2, R3, R4","4","4.70kΩ","4.70kΩ","Kicad:P0603","","",""
"R5","1","1.00kΩ","1.00kΩ","Kicad:P0603","","",""
"R6","1","10.0kΩ","10.0kΩ","Kicad:P0603","","",""
"R7","1","1.50kΩ","1.50kΩ","Kicad:P0603","","",""
"R8","1","ZERO_Ω","ZERO_Ω","Kicad:P0603","","",""
"U1","1","STM32L151VDT","STM32L151VDT","Kicad:QFP_100_14X14_0.5","","",""
"U2","1","24AA02E64OT","24AA02E64OT","Kicad:SOT23-6","","",""
"U3","1","MCP1501-30","MCP1501-30","Kicad:SOT23-6","","",""
"U4","1","AP2152","AP2152","Kicad:SOIC_8","","",""
"X1","1","ABM8G-12.00MHz","ABM8G-12.00MHz","Kicad:XTAL_3.2X2.5","","",""
"X2","1","ABS10-32.768kHz","ABS10-32.768kHz","Kicad:XTAL_1.8X4.9mm","","",""
