"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_1210_HandSoldering";1;"10uF";;;
2;"C2";"C_0805_HandSoldering";1;"1uF";;;
3;"D3,D4,D5,D6,D7,D8,D9,D10,D2";"SOD-123";9;"1N4148W-7-F";;;
4;"U1";"SSOP-20_5.3x7.2mm_Pitch0.65mm";1;"PIC16F1829LIN";;;
5;"D1,D11,D12,D13,D14,D15,D16,D17,D18";"SOD-323_HandSoldering";9;"RSB36V";;;
6;"P1,P2";"Molex_Sabre_43160-XX03_03x7.49mm_Angled_BoardLock";2;"MOLEX-0431603103";;;
7;"P3,P5,P4,P6";"bornier4";4;"TE-282836-4";;;
8;"REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2_Pad_Via";4;"MountingHole_2.2mm_M2_Pad_Via";;;
9;"SW1";"SW_DIP_x4_W7.62mm_Slide_Copal_CHS-B";1;"SW_DIP_x04";;;
10;"P7";"Pin_Header_Angled_1x05";1;"CONN_01X05";;;
