"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"JP8,JP40,JP21,JP46,JP42,JP53,JP22,JP52,JP50,JP55,JP31,JP32,JP15,JP17,JP47,JP30,JP26,JP54,JP23,JP14,JP13,JP41,JP11,JP12,JP24,JP25,JP27,JP28,JP29,JP39,JP43,JP49,JP1,JP2,JP4,JP5,JP6,JP7,JP9,JP10,JP45,JP16,JP3,JP51,JP20,JP19,JP18";"Pin_Header_Straight_1x02_Pitch2.54mm";47;"Jumper";;;
2;"PC3,PC2,PC4";"C_1206_HandSoldering";3;"47uF 10V";;;
3;"C38,C37";"C_0805_HandSoldering";2;"22uF 25V";;;
4;"C15,C20,C32,C34,C41,C42,C8,C13,C18";"C_0805_HandSoldering";9;"0.22uF 50V";;;
5;"R50";"R_0805_HandSoldering";1;"910";;;
6;"R51";"R_0805_HandSoldering";1;"309";;;
7;"C43,C36,C21,C23,C33,C7,C16,C22,C35,C4,C12,C14,C17,C19";"C_0805_HandSoldering";14;"0.1uF 50V";;;
8;"R31,R44,R45";"R_0805_HandSoldering";3;"200";;;
9;"PC1";"CP_Tantalum_Case-C_EIA-6032-28_Reflow";1;"47uF";;;
10;"U12";"SOT-223-3_TabPin2";1;"LD1117S50TR_SOT223";;;
11;"U8";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MCP2003B";;;
12;"R11,R23,R46";"R_0805_HandSoldering";3;"150";;;
13;"D3,D16,D19";"LED_0805_HandSoldering";3;"LED GREEN 2.5mA 2.7V";;;
14;"D2,D17,D18";"LED_0805_HandSoldering";3;"LED BLUE 10mA 3V";;;
15;"R30";"R_0805_HandSoldering";1;"4k7";;;
16;"C1";"C_0805_HandSoldering";1;"0.47nF 50V";;;
17;"U4";"xP_01ASB0907B";1;"MPX4250AP1";;;
18;"C39,C46,C9";"C_0805_HandSoldering";3;"1uF 35V";;;
19;"C40";"C_0805_HandSoldering";1;"22nF 50V";;;
20;"R1";"R_0805_HandSoldering";1;"1M";;;
21;"R2,R4";"R_0805_HandSoldering";2;"2.49k";;;
22;"R3,R5,R15,R8,R9,R10,R6,R26";"R_0805_HandSoldering";8;"470";;;
23;"R7";"R_0805_HandSoldering";1;"750";;;
24;"R13";"R_0805_HandSoldering";1;"3.9k";;;
25;"R14,R19,R33,R37,R41";"R_0805_HandSoldering";5;"1k";;;
26;"R16,R12,R17,R21,R35,R39,R24,R29,R47,R48,RN5A1";"R_0805_HandSoldering";11;"10k";;;
27;"R28,R27";"R_0805_HandSoldering";2;"33k";;;
28;"D5,D8,D10,D12,D14";"LED_0805_HandSoldering";5;"LED RED 10mA 1.9V";;;
29;"D4";"D_SOD-123F";1;"D_Schottky";;;
30;"L4,L3";"BOURNS_SRR1260";2;"47uH";;;
31;"J14";"ED120_3DS";1;"power";;;
32;"J6";"ED120_3DS";1;"crankshaft position sensor";;;
33;"U3";"TQFP-64_14x14mm_Pitch0.8mm";1;"ATmega2561-16AU";;;
34;"Q5,Q2";"TSOP-6_1.65x3.05mm_Pitch0.95mm";2;"SQ3457EV";;;
35;"Q3,Q1";"SOT-23";2;"2N7002";;;
36;"J13";"ED120_3DS";1;"fuel pressure";;;
37;"J12";"ED120_3DS";1;"oil pressure";;;
38;"J1";"ED120_4DS";1;"O2";;;
39;"D1";"MicroSMP";1;"MSS1P3L-M3/89A";;;
40;"Y1";"Resonator_SMD_Murata-3pin_3.2x1.3mm";1;"CSTCE16M0V53-R0";;;
41;"J4";"ED120_2DS";1;"IAT";;;
42;"J5";"ED120_2DS";1;"head temperature";;;
43;"J3";"ED120_3DS";1;"TPS";;;
44;"J2";"RaspberryPi_uHAT";1;"Raspberry_Pi_2_3";;;
45;"C24,C26,C28,C30";"C_0805_HandSoldering";4;"1nF 50V";;;
46;"C27,C29,C31,C25";"C_0805_HandSoldering";4;"22uF 16V";;;
47;"D9,D11,D13,D15";"D_SMA_Handsoldering";4;"B340A-13-F";;;
48;"R18,R22,R36,R40";"R_0805_HandSoldering";4;"47.5k";;;
49;"R20,R34,R38,R42";"R_0805_HandSoldering";4;"26.1k";;;
50;"U7,U13,U14,U15";"TI_SO-PowerPAD-8";4;"DRV103H";;;
51;"C6";"C_0805_HandSoldering";1;"0.22nF 200V";;;
52;"D6,D23,D25,D7,D24,D22,D20,D21,D26";"SOT-23";9;"NUP1301,215";;;
53;"U5,U10,U9";"SSOP-8_2.95x2.8mm_Pitch0.65mm";3;"SN74LVC2T45MDCTTEP";;;
54;"U11";"SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm";1;"TLE8366";;;
55;"L1";"L_0805_HandSoldering";1;"10uH";;;
56;"R25";"R_0805_HandSoldering";1;"22k";;;
57;"J7,J8,J9,J10";"ED120_2DS";4;"Injector";;;
58;"J11";"ED120_4DS";1;"Ignitor Pack";;;
59;"R43,R49";"R_0805_HandSoldering";2;"3.74k";;;
60;"C2";"C_0805_HandSoldering";1;"4.7nF 100V";;;
61;"C10";"C_0805_HandSoldering";1;"10nF 100V";;;
62;"C11";"C_0805_HandSoldering";1;"0.33uF 50V";;;
63;"J15";"Pin_Header_Straight_1x08_Pitch2.54mm";1;"Conn_01x08_Female";;;
