"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\coddingtonbear_boox_light_boox_light\current_version\working\working.kicad_sch"
"Date:","28/09/2023 21:08:54"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","24"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"BT1","1","Battery_Cell","Battery_Cell","coddingtonbear:JST_EH_B02B-EH-A_02x2.50mm_Straight_LargePads","Single-cell battery","",""
"C1, C2, C5","3","0.1u","C","coddingtonbear:0805_Milling","Unpolarized capacitor","",""
"C3, C4","2","100uF / NTC-T107K10TRDF","CP-Device","coddingtonbear:CP_Tantalum_Case-D_EIA-7343-31_Milling","","",""
"D1, D7","2","SS14-TP","D_Schottky","coddingtonbear:DO-214AC","Schottky diode","",""
"D2, D3, D4, D5, D6","5","LW-Y1SG","LED","coddingtonbear:MICRO_SIDELED_2808","Light emitting diode","",""
"J1","1","USB_OTG","USB_OTG-Connector","coddingtonbear:UJ2-MIBH-4-SMT","","",""
"J2","1","Passthrough","Conn_01x05","coddingtonbear:JST_XH_B05B-XH-A_05x2.50mm_Straight_LargePads","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"L1","1","47u","INDUCTOR-pspice","Inductor_SMD:L_Bourns-SRN4018","","",""
"R1, R7, R8","3","10k","R","coddingtonbear:0805_Milling","Resistor","",""
"R2","1","1.0 (max)","R","coddingtonbear:0805_Milling","Resistor","",""
"RV1","1","R_POT","R_POT-Device","coddingtonbear:SV01_Murata_Pot","","",""
"U1","1","MCP73831-2-OT","MCP73831-2-OT-Battery_Management","Package_TO_SOT_SMD:SOT-23-5","","",""
"U2","1","ATtiny85-20SU","ATtiny85-20SU-MCU_Microchip_ATtiny","Package_SO:SOIJ-8_5.3x5.3mm_P1.27mm","","",""
"U3","1","PAM2804","PAM2804-coddingtonbear","Package_TO_SOT_SMD:TSOT-23-5_HandSoldering","","",""
