"Source:","C:\gh\oomlout_oomp_project_bot_v_2\projects\dangerousprototypes_buspirate5_hardware_buspirate_5_rev8\current_version\working\working_5.kicad_sch"
"Date:","22/09/2023 10:35:32"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","36"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C103, C110, C111, C112, C113, C114, C115, C116, C117, C118","10","0.1uF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C104, C107, C108, C109","4","2.2uF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C105, C106","2","15pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"C201, C202, C401, C402","4","4.7uF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol","",""
"J201","1","Conn_01x03","Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J202","1","TYPE-C-31-M-12","TYPE-C-31-M-12-usb-c","HRO_TYPE-C-31-M-12","","",""
"L201","1","1.5A","Ferrite_Bead_Small-kicad5-device","Inductor_SMD:L_0805_2012Metric","","",""
"R101","1","1K","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R102","1","DNF","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R103","1","200R","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R201, R204","2","5.1K","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"R202, R203","2","22R","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol","",""
"SW101","1","SW_SPST","SW_SPST","Button_Switch_SMD:SW_SPST_PTS810","Single Pole Single Throw (SPST) switch","",""
"SW102","1","4P_button_sw","4P_button_sw-dp-switch","dp-switch:GT-TC026X-HXXX-LX","","",""
"U102","1","W25Q128JVSIQ","xm25qh128a-dp-memory","Package_SO:SOP-8_5.28x5.23mm_P1.27mm","","",""
"U103","1","RP2040","RP2040-RP_Silicon","RP_Silicon:RP2040-QFN-56","","",""
"U401","1","ME6211A33PG-N","AP2204RA-3.3","Package_TO_SOT_SMD:SOT-89-3","150mA low dropout linear regulator, wide input voltage range, 3.3V fixed positive output, SOT-89-3 package","",""
"Y101","1","12Mhz","Crystal_GND24_Small","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","Four pin crystal, GND on pins 2 and 4, small symbol","",""
