"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4,J6";"Pin_Header_Straight_1x03_Pitch2.54mm";2;"Conn_01x03_Male";;;
2;"J7";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Conn_01x02_Male";;;
3;"TP2,TP3,TP4,TP5,TP6,TP1";"Pin_Header_Straight_1x01_Pitch2.54mm";6;"TestPoint";;;
4;"C37,C36,C42";"CP_Elec_3x5.3";3;"10uF";;;
5;"C34,C23";"C_0805_HandSoldering";2;"100pF";;;
6;"C43,C22,C16";"C_0805_HandSoldering";3;"10uF";;;
7;"J1";"SWD_header";1;"SWD_Header";;;
8;"D1";"D_SOD-123";1;"MBR130T1G";;;
9;"C39,C40";"CP_Elec_5x5.3";2;"22uF";;;
10;"C41";"CP_Elec_5x5.3";1;"47uF";;;
11;"U7";"SOT-223";1;"LM1117-3.3";;;
12;"C8,C10,C13,C11,C38,C26,C25,C17,C14,C19,C24";"C_0805_HandSoldering";11;"100nF";;;
13;"C6,C12,C20";"C_0805_HandSoldering";3;"10nF";;;
14;"C3,C2";"C_0805_HandSoldering";2;"18pF";;;
15;"C5,C33,C31";"C_0805_HandSoldering";3;"2.2uF";;;
16;"D3,D4";"D_SOD-123";2;"1N5819";;;
17;"Y1";"Crystal_SMD_0603-2pin_6.0x3.5mm_HandSoldering";1;"ECS-12MHz";;;
18;"C1,C35,C4,C9,C15";"C_0603_HandSoldering";5;"100nF";;;
19;"R22,R14,R15";"R_0805_HandSoldering";3;"2.2k";;;
20;"D2";"SOT-23";1;"LM4040DBZ-5";;;
21;"R16,R17";"R_0805_HandSoldering";2;"10k";;;
22;"R6,R8";"R_0805_HandSoldering";2;"68k";;;
23;"R13,R10,R12";"R_0805_HandSoldering";3;"47k";;;
24;"R11";"R_0805_HandSoldering";1;"56k";;;
25;"R9,R3,R5,R7";"R_0805_HandSoldering";4;"100k";;;
26;"C28,C29";"C_0805_HandSoldering";2;"2.2nF";;;
27;"C27,C30";"C_0805_HandSoldering";2;"1.5nF";;;
28;"C32,C18";"C_0805_HandSoldering";2;"1nF";;;
29;"U5";"SOIC-8-N";1;"TL072";;;
30;"U3";"SOIC-14_N";1;"MCP6004";;;
31;"U4";"SSOP-20_4.4x6.5mm_Pitch0.65mm_Round_Pads";1;"PCM5100APW";;;
32;"U2";"ICE40_QFN-48-1EP_7x7mm_Pitch0.5mm";1;"ICE40UP5K-SG48ITR";;;
33;"R20,R21";"R_0805_HandSoldering";2;"1k";;;
34;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F446RETx";;;
35;"U6";"SOT-223";1;"LD1117S12TR";;;
36;"R19,R18";"R_0805_HandSoldering";2;"33k";;;
37;"R4";"R_0805_HandSoldering";1;"91k";;;
38;"J8";"Eurorack_16_pin_header";1;"Eurorack_16_pin_power";;;
39;"L1";"L_0805_HandSoldering";1;"L";;;
40;"R2";"R_0805_HandSoldering";1;"82k";;;
41;"R1";"R_0805_HandSoldering";1;"100";;;
42;"C21";"C_0805_HandSoldering";1;"1uF";;;
43;"C7";"C_0603_HandSoldering";1;"10nF";;;
44;"J5";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Conn_01x06_Male";;;
45;"R24";"R_0805_HandSoldering";1;"120";;;
46;"J2";"Socket_Strip_Straight_1x10_Pitch2.54mm";1;"Conn_01x10_Female";;;
47;"J3";"Socket_Strip_Straight_1x12_Pitch2.54mm";1;"Conn_01x12_Female";;;
48;"R23";"R_1206";1;"0";;;
