"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"JP1,JP2,JP3";"Pin_Header_Straight_1x04";3;"JUMPER4";;;
2;"JP4";"Pin_Header_Straight_1x03";1;"JUMPER3";;;
3;"P2";"bornier2";1;"CONN_01X02";;;
4;"P3";"Pin_Header_Angled_1x03";1;"CONN_01X03";;;
5;"P4,P5,P6,P7";"Molex_spox_1x3_right";4;"CONN_01X03";;;
6;"P8,P9";"Molex_spox_1x3_straight";2;"CONN_01X03";;;
7;"Q1";"TO-252-2Lead";1;"MOSFET_N";;;
8;"R1,R2,R3,R4,R6,R7";"R_0603_HandSoldering";6;"10K";;;
9;"U1";"SOT-353";1;"74AHCT1G126";;;
10;"U2";"SOT-353";1;"74AHC1G125";;;
11;"P1";"BARREL_JACK";1;"BARREL_JACK";;;
12;"F1";"Fuseholder5x20_horiz_lateral";1;"F_Small";;;
13;"D1";"LED_0603";1;"LED";;;
14;"SHIELD1";"Arduino_shield_dynamixel";1;"ARDUINO_SHIELD";;;
15;"R5";"R_0603_HandSoldering";1;"200";;;
16;"C1,C2";"CP_Elec_6.3x7.7";2;"220uF";;;
17;"REF**";"CreativeCommonCopperSmall";1;"CreativeCommonCopper";;;
18;"REF**";"CreativeCommonAttributionCopperSmall";1;"CreativeCommonAttributionCopperSmall";;;
19;"REF**";"CreativeCommonShareAlikeCopperSmall";1;"CreativeCommonShareAlikeCopperSmall";;;
