"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;",,,";"RPi_Hat_Mounting_Hole";4;"";;;
2;"U1";"SOT-223";1;"AZ1117EH-3.3";;;
3;"CON1";"BARREL_JACK";1;"BARREL_JACK";;;
4;"GPIO1";"Pin_Header_Straight_2x20";1;"RPi_GPIO";;;
5;"RN1,RN4,RN9,RN10,RN11,RN3";"CTS_742C043";6;"4.7K";;;
6;"U2";"SOIC-8-N";1;"I2C Flash";;;
7;"GR4,GR5,GR1,GR3,GR2";"GROVE_MALE";5;"Grove";;;
8;"U3";"SOT-223";1;"AZ1117EH-1.2";;;
9;"U4";"Lattice_caBGA_256";1;"iCE40-HX8K-CT256";;;
10;"U5";"TSOPII-54";1;"16Mx16 SDRAM";;;
11;"U6";"SOIC-8-N";1;"SPI Flash";;;
12;"U7";"2.5x3.2";1;"100 MHz Osc";;;
13;"LED1,LED2,LED3,LED4";"LED-0603";4;"LED";;;
14;"Q1";"SOT-23";1;"Q_PMOS_GSD";;;
15;"RESET1,SW1,SW2";"RS-282G05A3-SM_RT";3;"SW_PUSH";;;
16;"RN5,RN6,RN12";"CTS_742C083";3;"100";;;
17;"R2,R3,R4,R5";"R_0402";4;"127";;;
18;"RN7,RN8";"CTS_742C083";2;"200";;;
19;"C1";"c_elec_6.3x5.3";1;"100uF";;;
20;"C2,C3,C4,C32,C33,C6";"C_0805";6;"10uF";;;
21;"C48,C5,C8,C10,C12,C14,C16,C17,C18,C19,C24,C25,C26,C27,C34,C35,C40,C41,C42,C44,C45,C47";"C_0603";22;"0.1uF";;;
22;"TP-1.2V1,TP-3.3V1,TP-5V1,TP-GND1";"Measurement_Point_Round-TH_Small";4;"TPTP-COMPACT";;;
23;"RN2";"CTS_742C043";1;"100";;;
24;"HDR1";"Pin_Header_Straight_2x10";1;"CONN_02X10";;;
25;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"stitch-1.0";31;"stitch-1.0";;;
26;"G***";"cat_board";1;"LOGO";;;
27;"";"xess_logo_12mm";1;"";;;
28;"G***";"humor_slogan";1;"LOGO";;;
29;"";"oshw_logo_6mm";1;"";;;
30;"D1";"SOD-323";1;"D";;;
31;"C9,C11,C13,C20,C21,C22,C23,C28,C29,C30,C31,C38,C39";"C_0603";13;"1.0uF";;;
32;"C43,C46";"C_0603";2;"0.01uF";;;
33;"R1,R6,R7";"R_0603";3;"100";;;
34;"R9";"R_0603";1;"768";;;
35;"U8";"SOT-223";1;"AZ1117EH-ADJ";;;
36;"G***";"rookie_head_12x12";1;"LOGO";;;
37;"G***";"cat_tagline";1;"LOGO";;;
38;"";"xess_logo_15mm";1;"";;;
39;"R8";"R_0805_HandSoldering";1;"1260";;;
