"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3,C4,C1,C2";"C_0603_1608Metric";4;"1uF";;;
2;"D5,D8,D11,D2,D6,D7,D4,D10,D3,D1,D12,D9";"WS2812B-2020";12;"WS2812B-2020";;;
3;"SW1,SW4,SW10,SW2,SW6,SW12,SW8,SW11,SW5,SW7,SW9,SW3";"SW_Cherry_MX_1.00u_PCB";12;"SW_SPST";;;
4;"SW15";"SW_SPST_PTS645";1;"SW_RIGHT";;;
5;"G***";"SolderParty-New-Logo_10x8.5mm_SilkScreen";1;"LOGO";;;
6;"R1,R2";"R_0603_1608Metric";2;"5.1K";;;
7;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
8;"U1";"RP2040_Stamp_FlexyPin";1;"RP2040_Stamp";;;
9;"SW14";"SW_SPST_PTS645";1;"SW_CENTER";;;
10;"DS1";"OLED-128O064D";1;"OLED-128O064D";;;
11;"SW13";"SW_SPST_PTS645";1;"SW_LEFT";;;
12;"R3";"R_0603_1608Metric";1;"390K";;;
13;"G***";"SolderParty-New-Logo_20x16.9mm_SilkScreen";1;"LOGO";;;
14;"J2";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_GPIOs";;;
